"ID","EDAD","GENERO","EST_MARITAL","HIJOS","INGRESO","TARJETAS","PRESTAMOS","PAGO","HIPOTECA","RIESGO"
100582,39,"Masculino","Casado",0,42652,1,1,"Mensual","Si","Alto"
100723,43,"Masculino","Casado",0,42715,1,0,"Mensual","Si","Bajo"
100447,35,"Masculino","Casado",0,42719,1,1,"Mensual","Si","Bajo"
100317,31,"Masculino","Casado",0,42852,1,1,"Mensual","Si","Alto"
100517,37,"Masculino","Casado",0,42884,1,0,NA,NA,"Alto"
100290,30,"Masculino","Casado",0,42926,NA,0,"Mensual",NA,"Alto"
100633,41,"Masculino","Casado",0,43120,1,1,"Mensual",NA,"Bajo"
100530,37,"Masculino","Casado",0,NA,NA,1,"Mensual","Si","Alto"
100311,31,"Masculino","Casado",0,43330,1,NA,"Mensual","Si","Bajo"
NA,33,"Masculino","Casado",0,43474,1,1,"Mensual","Si","Alto"
100272,30,"Masculino","Casado",0,43593,1,0,"Mensual",NA,"Alto"
100367,33,"Masculino","Casado",0,43645,2,NA,"Mensual","Si","Alto"
NA,31,"Masculino",NA,0,43650,1,0,"Mensual","Si","Alto"
100303,31,"Masculino","Casado",0,43795,2,0,"Mensual","Si","Bajo"
100511,37,"Masculino","Casado",0,43835,2,NA,"Mensual","Si","Bajo"
100443,35,"Masculino","Casado",0,43874,2,1,"Mensual","Si","Bajo"
100444,35,"Masculino","Casado",0,43888,1,1,"Mensual","Si","Bajo"
100696,42,"Masculino","Casado",0,43977,1,NA,"Mensual","Si","Alto"
100407,34,"Masculino","Casado",NA,43989,1,1,"Mensual","Si","Alto"
100715,43,"Masculino","Casado",0,44150,2,1,"Mensual",NA,"Bajo"
100445,35,"Masculino","Casado",0,44194,NA,1,"Mensual","Si","Alto"
100784,45,"Masculino","Casado",0,44261,1,1,"Mensual","Si","Alto"
100533,37,"Masculino","Casado",NA,44363,NA,1,"Mensual","Si","Alto"
100534,37,"Masculino","Casado",0,44413,2,0,"Mensual","Si","Alto"
100549,38,"Masculino","Casado",0,44460,1,1,"Mensual","Si","Alto"
100641,41,"Masculino","Casado",0,44534,2,0,"Mensual","Si","Alto"
100361,33,"Masculino","Casado",0,44613,2,NA,"Mensual","Si","Alto"
NA,35,"Masculino","Casado",0,45066,1,NA,"Mensual","Si","Alto"
100330,32,NA,"Casado",0,NA,1,NA,"Mensual","Si","Alto"
100718,43,"Masculino","Casado",0,45240,2,1,NA,NA,"Bajo"
100618,40,"Masculino","Casado",0,45463,2,1,"Mensual","Si","Alto"
100600,39,"Masculino","Casado",0,45537,2,1,"Mensual","Si","Alto"
NA,37,"Masculino",NA,0,45621,1,0,"Mensual",NA,"Alto"
100688,42,"Masculino","Casado",0,45654,2,0,"Mensual","Si","Alto"
100485,36,"Masculino","Casado",0,45673,1,0,NA,"Si","Alto"
100282,30,"Masculino",NA,NA,45715,2,1,"Mensual","Si","Alto"
100561,38,"Masculino","Casado",0,45721,1,1,"Mensual","Si","Bajo"
100468,36,"Masculino","Casado",0,45970,1,0,"Mensual","Si","Alto"
100565,38,"Masculino","Casado",0,46823,1,NA,"Mensual","Si","Alto"
100323,31,"Masculino",NA,0,NA,2,1,"Mensual","Si","Alto"
100596,39,"Masculino","Casado",0,47019,1,1,"Mensual","Si","Alto"
NA,44,NA,"Casado",0,47035,1,0,"Mensual","Si","Bajo"
100798,NA,"Masculino","Casado",0,47111,2,1,"Mensual","Si","Alto"
100422,34,"Masculino","Casado",0,47623,1,1,NA,"Si","Alto"
100495,36,"Masculino","Casado",0,47734,2,1,"Mensual","Si","Alto"
100489,36,"Masculino","Casado",0,48084,2,NA,"Mensual","Si","Alto"
100388,33,"Masculino","Casado",0,48511,NA,0,"Mensual","Si","Alto"
100623,28,"Masculino",NA,0,48599,1,1,"Mensual","Si","Bajo"
100605,39,"Masculino","Casado",0,49415,1,0,"Mensual","Si","Alto"
100373,33,"Masculino","Casado",0,49678,2,0,NA,"Si","Alto"
100344,32,"Masculino","Casado",0,49745,1,1,"Mensual","Si","Bajo"
100660,41,NA,"Casado",0,NA,NA,1,"Mensual","Si","Alto"
NA,37,"Masculino","Casado",0,NA,2,0,"Mensual","Si","Bajo"
100593,39,"Masculino",NA,0,50445,1,1,"Mensual","Si","Bajo"
100793,45,"Masculino","Casado",0,50552,1,0,"Mensual","Si","Alto"
100754,44,"Masculino","Casado",0,50816,2,1,"Mensual",NA,"Bajo"
100419,34,"Masculino","Casado",0,NA,2,1,"Mensual","Si","Alto"
100765,44,NA,"Casado",0,51498,1,1,"Mensual","Si","Bajo"
100697,26,"Masculino","Casado",0,NA,NA,0,"Mensual","Si","Alto"
NA,36,"Masculino","Casado",0,51939,1,NA,"Mensual","Si","Bajo"
100295,30,"Masculino","Casado",0,52725,2,0,"Mensual","Si","Alto"
100626,38,"Masculino","Casado",0,52887,2,0,"Mensual","Si","Alto"
100385,33,NA,"Casado",0,52896,2,1,"Mensual",NA,"Bajo"
100448,35,"Masculino","Casado",0,NA,1,0,"Mensual","Si","Alto"
100694,42,"Masculino","Casado",0,53307,2,1,"Mensual","Si","Bajo"
100492,36,"Masculino","Casado",NA,53365,NA,0,"Mensual","Si","Bajo"
100597,39,"Masculino","Casado",NA,53731,2,1,"Mensual","Si","Alto"
100415,34,"Masculino","Casado",0,53791,1,1,"Mensual","Si","Alto"
100757,44,NA,"Casado",0,54451,1,1,"Mensual","Si","Alto"
100629,28,"Masculino","Casado",0,54671,2,0,"Mensual","Si","Alto"
NA,36,"Masculino","Casado",NA,54938,2,NA,"Mensual","Si","Alto"
100601,39,"Masculino","Casado",NA,55215,2,0,"Mensual","Si","Alto"
100494,36,"Masculino","Casado",0,55421,2,0,"Mensual","Si","Alto"
100568,38,"Masculino","Casado",0,55752,2,1,"Mensual","Si","Alto"
100670,41,"Masculino","Casado",0,56470,NA,0,NA,"Si","Bajo"
100421,34,"Masculino","Casado",0,56486,1,NA,"Mensual","Si","Bajo"
100566,38,"Masculino",NA,0,56590,2,0,"Mensual","Si","Bajo"
100766,NA,"Masculino","Casado",NA,57376,NA,NA,"Mensual",NA,"Alto"
NA,34,"Masculino","Casado",0,58026,1,0,"Mensual","Si","Alto"
100769,NA,"Masculino",NA,0,58529,1,0,"Mensual","Si","Bajo"
100758,38,"Masculino",NA,0,58914,1,1,"Mensual","Si","Bajo"
100702,42,"Masculino","Casado",0,59201,1,0,"Mensual","Si","Alto"
NA,34,"Masculino","Casado",0,59463,2,1,"Mensual","Si","Bajo"
101819,24,"Masculino",NA,1,15018,2,2,"Mensual","Si","Bajo"
101958,25,"Masculino","Casado",1,15051,0,1,"Mensual","Si","Bajo"
NA,20,"Masculino","Casado",1,15064,2,2,"Mensual","Si","Bajo"
101554,22,"Masculino","Casado",1,15155,1,1,"Semanal","Si","Bajo"
101970,25,"Masculino","Casado",1,15168,1,2,"Semanal","Si","Bajo"
101903,NA,"Masculino","Casado",1,15307,2,2,"Semanal","Si","Bajo"
101557,22,"Masculino","Casado",1,15308,2,1,"Semanal","Si","Bajo"
101827,24,NA,"Casado",1,15345,0,1,"Mensual","Si","Bajo"
100804,NA,"Masculino","Casado",1,15402,1,2,"Mensual","Si","Bajo"
101571,23,"Masculino","Casado",1,15415,2,1,"Mensual","Si","Bajo"
101336,21,NA,"Casado",NA,15442,2,NA,"Mensual","Si","Bajo"
101003,36,"Masculino","Casado",NA,15449,1,2,"Semanal","Si","Bajo"
101706,24,NA,"Casado",1,15451,1,1,"Semanal","Si","Bajo"
101116,20,"Masculino","Casado",1,15466,1,1,"Mensual","Si","Bajo"
101698,23,NA,NA,1,15481,NA,2,"Semanal","Si","Bajo"
100806,18,"Masculino",NA,1,15534,2,2,"Mensual","Si","Bajo"
101752,24,"Masculino","Casado",1,15597,1,1,"Semanal","Si","Bajo"
101021,19,NA,"Casado",1,15647,0,1,"Mensual","Si","Bajo"
101181,20,"Masculino","Casado",1,15733,0,1,"Mensual","Si","Bajo"
100805,18,"Masculino","Casado",1,15780,2,1,"Mensual","Si","Bajo"
101134,32,"Masculino","Casado",1,NA,NA,NA,"Semanal","Si","Bajo"
100833,28,"Masculino","Casado",1,15880,1,NA,NA,"Si","Bajo"
101893,25,"Masculino","Casado",1,15901,1,2,"Semanal","Si","Bajo"
101414,22,"Masculino","Casado",1,15935,2,2,"Mensual","Si","Bajo"
101526,22,"Masculino","Casado",NA,15936,NA,2,"Mensual","Si","Bajo"
100807,18,"Masculino","Casado",1,15949,2,NA,NA,"Si","Bajo"
101262,20,"Masculino","Casado",1,15952,2,2,"Mensual","Si","Bajo"
101175,20,"Masculino","Casado",1,16002,1,1,"Semanal","Si","Bajo"
100948,19,"Masculino","Casado",1,16062,1,1,"Semanal","Si","Bajo"
101521,22,"Masculino",NA,1,16152,2,2,"Semanal","Si","Bajo"
101024,19,"Masculino","Casado",1,16201,1,NA,"Semanal","Si","Bajo"
101709,NA,NA,"Casado",1,16303,2,1,"Mensual","Si","Bajo"
101639,NA,"Masculino","Casado",1,16324,1,2,"Semanal","Si","Bajo"
101211,29,"Masculino","Casado",1,16412,1,NA,"Semanal","Si","Bajo"
NA,19,"Masculino",NA,NA,16530,2,2,"Semanal","Si","Bajo"
101753,24,"Masculino","Casado",1,NA,2,2,"Mensual","Si","Bajo"
100875,18,NA,"Casado",1,16570,2,1,NA,"Si","Bajo"
101069,19,"Masculino","Casado",NA,16673,0,1,"Mensual","Si","Bajo"
101365,21,"Masculino",NA,NA,16709,NA,1,"Mensual","Si","Bajo"
101708,24,"Masculino","Casado",1,16726,2,NA,"Mensual","Si","Bajo"
101717,24,"Masculino",NA,1,NA,1,2,"Mensual","Si","Bajo"
100902,18,"Masculino",NA,1,16823,1,1,"Semanal","Si","Bajo"
101261,NA,"Masculino","Casado",NA,16828,NA,1,"Semanal","Si","Bajo"
101117,26,"Masculino","Casado",1,16841,1,2,NA,"Si","Bajo"
101739,24,"Masculino","Casado",NA,16915,2,1,NA,"Si","Bajo"
NA,20,"Masculino","Casado",1,16929,1,2,"Mensual","Si","Bajo"
101747,24,"Masculino",NA,1,16938,1,2,"Mensual","Si","Bajo"
101780,24,"Masculino",NA,1,16960,1,2,"Mensual","Si","Bajo"
100828,18,"Masculino","Casado",1,16975,1,2,"Semanal","Si","Bajo"
101761,24,"Masculino","Casado",1,16978,NA,2,"Mensual","Si","Bajo"
NA,NA,"Masculino",NA,1,NA,0,1,"Mensual","Si","Bajo"
101157,20,"Masculino","Casado",1,17021,1,1,"Mensual",NA,"Bajo"
100990,19,"Masculino","Casado",1,17168,0,1,"Mensual","Si","Bajo"
NA,26,NA,"Casado",1,17199,2,2,"Mensual","Si","Bajo"
101022,19,"Masculino","Casado",1,17243,0,2,"Mensual","Si","Bajo"
101799,NA,"Masculino","Casado",1,17303,1,2,"Semanal","Si","Bajo"
NA,36,"Masculino","Casado",1,17325,0,1,NA,"Si","Bajo"
101599,23,"Masculino","Casado",1,17384,1,1,"Semanal","Si","Bajo"
NA,20,"Masculino","Casado",1,17394,NA,1,NA,"Si","Bajo"
101977,25,"Masculino","Casado",1,17506,1,1,"Mensual","Si","Bajo"
101411,22,"Masculino","Casado",1,17512,1,1,"Mensual",NA,"Bajo"
100889,31,"Masculino",NA,1,17624,0,2,NA,"Si","Bajo"
101704,24,"Masculino","Casado",NA,17661,0,2,"Semanal","Si","Bajo"
100825,18,"Masculino","Casado",1,17905,0,2,"Semanal","Si","Bajo"
100961,33,"Masculino","Casado",1,17943,0,1,"Semanal","Si","Alto"
101385,37,"Masculino","Casado",1,NA,2,2,"Semanal","Si","Bajo"
101907,25,"Masculino","Casado",NA,17979,0,1,"Mensual","Si","Bajo"
101745,24,NA,"Casado",1,18008,NA,2,"Semanal","Si","Bajo"
101933,25,"Masculino","Casado",1,18105,1,2,"Semanal","Si","Bajo"
101315,33,"Masculino","Casado",NA,18108,2,1,"Semanal","Si","Bajo"
101976,34,"Masculino","Casado",NA,NA,0,2,"Semanal",NA,"Bajo"
101844,NA,NA,"Casado",1,18211,0,2,"Semanal","Si","Bajo"
NA,21,"Masculino",NA,1,18265,1,1,"Mensual","Si","Bajo"
100982,26,"Masculino","Casado",1,18319,1,1,"Semanal","Si","Bajo"
101327,33,"Masculino","Casado",1,NA,1,NA,"Mensual","Si","Bajo"
101412,22,"Masculino","Casado",NA,18477,1,1,"Semanal","Si","Bajo"
100904,32,"Masculino","Casado",NA,18482,2,1,"Semanal","Si","Bajo"
101598,23,"Masculino","Casado",1,18489,1,2,"Semanal","Si","Bajo"
100915,18,"Masculino","Casado",1,18530,2,1,"Semanal",NA,"Bajo"
101943,25,"Masculino",NA,1,NA,2,2,"Semanal","Si","Bajo"
101925,38,"Masculino","Casado",1,18651,0,2,"Semanal","Si","Bajo"
101205,20,"Masculino","Casado",1,18658,2,NA,"Mensual","Si","Bajo"
101592,37,NA,"Casado",1,18878,2,1,"Semanal","Si","Bajo"
101127,20,"Masculino",NA,1,18999,2,2,"Mensual","Si","Bajo"
101054,29,NA,"Casado",1,18999,1,NA,"Semanal","Si","Bajo"
101409,38,"Masculino",NA,1,19109,0,2,"Mensual","Si","Bajo"
100946,19,"Masculino","Casado",1,NA,0,1,"Mensual","Si","Bajo"
100863,18,"Masculino","Casado",1,NA,0,1,"Mensual","Si","Bajo"
101579,23,"Masculino","Casado",1,20158,0,2,"Semanal","Si","Bajo"
101478,34,NA,NA,1,NA,2,1,"Semanal","Si","Bajo"
101722,24,"Masculino","Casado",1,20250,0,2,"Semanal",NA,"Bajo"
100966,19,"Masculino",NA,1,20287,0,2,"Mensual","Si","Bajo"
101427,22,"Masculino","Casado",1,20356,2,1,"Mensual","Si","Bajo"
101416,22,"Masculino","Casado",NA,NA,NA,1,"Mensual","Si","Bajo"
101337,21,NA,"Casado",1,20417,2,1,"Semanal",NA,"Bajo"
101161,20,"Masculino","Casado",NA,20419,2,2,"Semanal","Si","Bajo"
101288,21,"Masculino","Casado",1,20448,0,2,"Semanal","Si","Bajo"
101160,20,NA,"Casado",1,20453,2,1,"Semanal","Si","Bajo"
101442,22,"Masculino",NA,1,20508,1,2,NA,"Si","Bajo"
100991,37,"Masculino","Casado",1,NA,0,2,"Semanal","Si","Bajo"
101019,30,"Masculino","Casado",1,20546,2,NA,"Semanal","Si","Bajo"
101485,22,"Masculino","Casado",1,20555,0,1,NA,"Si","Bajo"
101589,23,"Masculino","Casado",1,20580,0,2,NA,"Si","Bajo"
101313,21,"Masculino","Casado",1,20581,1,1,"Semanal","Si","Bajo"
101466,22,"Masculino","Casado",1,20668,1,2,"Mensual","Si","Bajo"
101604,23,NA,"Casado",1,20669,0,2,"Semanal","Si","Bajo"
100815,18,"Masculino","Casado",1,20671,1,1,"Semanal","Si","Bajo"
100837,18,"Masculino","Casado",1,NA,2,2,"Semanal",NA,"Bajo"
101144,20,"Masculino","Casado",1,20674,2,2,"Semanal","Si","Bajo"
101582,23,"Masculino","Casado",1,NA,NA,1,"Mensual","Si","Bajo"
101605,23,"Masculino",NA,1,20678,2,2,"Semanal","Si","Bajo"
101912,NA,"Masculino","Casado",1,20704,2,NA,"Semanal","Si","Bajo"
101287,32,"Masculino","Casado",1,20730,0,2,"Mensual","Si","Bajo"
100992,19,"Masculino",NA,1,20806,0,1,"Semanal","Si","Bajo"
100847,18,"Masculino","Casado",1,20852,1,2,"Mensual","Si","Bajo"
100974,NA,NA,"Casado",1,20857,2,1,"Mensual","Si","Bajo"
100832,35,"Masculino","Casado",1,20857,NA,2,"Semanal","Si","Bajo"
101126,20,NA,"Casado",1,NA,NA,2,"Semanal","Si","Bajo"
101122,NA,"Masculino","Casado",1,20890,0,2,"Semanal","Si","Alto"
101470,22,"Masculino","Casado",1,NA,NA,1,"Semanal","Si","Bajo"
NA,19,"Masculino","Casado",1,20946,0,1,"Semanal","Si","Bajo"
101450,22,NA,"Casado",1,NA,1,2,"Mensual","Si","Bajo"
101909,26,"Masculino","Casado",1,21018,1,2,"Mensual","Si","Bajo"
NA,35,"Masculino","Casado",1,21023,1,1,"Mensual","Si","Bajo"
100822,26,"Masculino","Casado",1,NA,2,2,"Semanal","Si","Bajo"
NA,21,"Masculino","Casado",1,21059,1,2,"Mensual","Si","Bajo"
101875,25,"Masculino","Casado",1,21090,2,1,"Semanal","Si","Bajo"
100868,26,"Masculino","Casado",1,21121,2,NA,"Semanal","Si","Bajo"
101887,25,"Masculino","Casado",1,21126,2,1,"Semanal","Si","Bajo"
101009,19,"Masculino","Casado",1,21138,0,2,"Mensual","Si","Bajo"
101321,21,"Masculino","Casado",1,NA,1,2,"Semanal","Si","Bajo"
101877,28,"Masculino","Casado",1,21175,0,1,"Semanal","Si","Alto"
101335,NA,NA,"Casado",1,21200,0,1,"Mensual","Si","Bajo"
101885,29,"Masculino","Casado",1,21217,NA,1,"Mensual","Si","Bajo"
101870,25,"Masculino","Casado",1,21238,0,2,"Mensual","Si","Bajo"
NA,20,"Masculino","Casado",1,NA,0,2,"Semanal",NA,"Bajo"
NA,24,"Masculino","Casado",1,21290,2,2,"Semanal","Si","Bajo"
101316,21,"Masculino","Casado",1,21295,2,1,"Semanal","Si","Bajo"
100975,19,"Masculino","Casado",1,21305,2,1,"Semanal","Si","Bajo"
101166,20,"Masculino","Casado",1,21306,1,1,"Mensual","Si","Alto"
101136,20,"Masculino","Casado",1,21317,2,1,NA,"Si","Bajo"
100820,18,"Masculino","Casado",1,21321,0,2,"Mensual","Si","Bajo"
101898,25,"Masculino","Casado",1,21347,2,1,"Mensual",NA,"Bajo"
100814,18,"Masculino","Casado",NA,21349,NA,2,"Semanal","Si","Bajo"
101010,19,"Masculino","Casado",NA,NA,0,2,"Semanal","Si","Bajo"
NA,21,"Masculino","Casado",1,NA,2,1,"Mensual","Si","Bajo"
101636,23,"Masculino","Casado",1,21406,2,2,"Semanal",NA,"Bajo"
101584,23,"Masculino","Casado",1,21409,2,2,"Semanal","Si","Bajo"
100876,18,"Masculino","Casado",1,21468,NA,2,"Semanal","Si","Bajo"
100813,18,"Masculino",NA,1,21502,0,2,"Mensual","Si","Bajo"
101185,20,"Masculino",NA,1,21507,0,2,"Semanal","Si","Bajo"
100816,18,"Masculino","Casado",1,21561,1,2,"Semanal","Si","Bajo"
100954,NA,"Masculino","Casado",1,21592,2,1,"Mensual","Si","Bajo"
101431,22,"Masculino","Casado",1,21626,1,2,"Mensual","Si","Bajo"
101634,34,"Masculino","Casado",1,21692,0,2,"Mensual","Si","Bajo"
101580,NA,"Masculino","Casado",NA,21761,1,1,"Semanal","Si","Alto"
101297,21,"Masculino",NA,1,21761,0,1,"Mensual","Si","Bajo"
101177,20,"Masculino","Casado",1,21768,2,1,"Semanal","Si","Bajo"
101461,32,"Masculino","Casado",1,21772,2,1,"Semanal","Si","Bajo"
100841,18,"Masculino","Casado",1,21829,0,2,"Semanal","Si","Bajo"
101867,25,"Masculino","Casado",1,21831,2,2,NA,"Si","Bajo"
101018,19,"Masculino","Casado",1,21864,1,1,"Semanal","Si","Bajo"
101763,NA,"Masculino","Casado",1,21872,2,1,"Mensual","Si","Bajo"
100826,18,"Masculino",NA,1,21875,0,1,"Semanal","Si","Bajo"
101487,22,NA,"Casado",1,21914,1,1,"Semanal",NA,"Bajo"
100853,18,NA,"Casado",NA,NA,0,NA,"Mensual","Si","Bajo"
101283,21,"Masculino",NA,1,22002,1,2,"Semanal","Si","Bajo"
101608,28,"Masculino","Casado",1,22032,1,2,"Mensual","Si","Bajo"
100983,19,"Masculino","Casado",1,22082,1,NA,"Semanal","Si","Bajo"
101921,25,"Masculino","Casado",1,22089,2,1,"Semanal","Si","Bajo"
101432,28,NA,"Casado",1,22098,1,NA,"Semanal","Si","Bajo"
101886,25,NA,"Casado",1,22102,1,2,"Mensual","Si","Bajo"
101148,20,"Masculino","Casado",1,NA,NA,1,"Mensual","Si","Bajo"
101858,NA,"Masculino","Casado",1,22154,1,NA,"Semanal",NA,"Bajo"
101868,NA,"Masculino","Casado",1,22218,2,NA,"Semanal","Si","Bajo"
101183,20,"Masculino","Casado",1,22238,1,1,"Semanal","Si","Bajo"
101737,24,"Masculino","Casado",1,22255,0,2,"Semanal","Si","Bajo"
101033,19,"Masculino","Casado",1,22280,0,1,"Semanal","Si","Bajo"
101135,20,NA,"Casado",1,22312,1,2,"Semanal","Si","Bajo"
101744,38,"Masculino","Casado",1,22331,0,2,"Mensual","Si","Bajo"
101128,20,"Masculino","Casado",1,22335,2,1,"Semanal","Si","Bajo"
101421,34,"Masculino","Casado",1,22375,2,2,"Semanal","Si","Bajo"
101746,NA,"Masculino","Casado",1,22416,1,1,NA,"Si","Bajo"
101892,25,"Masculino",NA,1,22465,0,1,"Semanal","Si","Bajo"
100967,19,"Masculino","Casado",1,22466,0,2,"Semanal","Si","Alto"
101460,32,"Masculino",NA,1,22496,1,2,"Mensual","Si","Bajo"
101902,NA,"Masculino","Casado",1,22559,0,2,"Mensual","Si","Bajo"
101182,20,NA,NA,1,22561,NA,1,"Mensual","Si","Bajo"
101772,24,"Masculino","Casado",NA,22593,NA,1,"Semanal","Si","Bajo"
101150,20,"Masculino","Casado",1,22650,0,1,"Semanal","Si","Alto"
100865,18,"Masculino",NA,1,22662,1,2,"Semanal","Si","Bajo"
NA,18,"Masculino","Casado",1,22699,NA,2,"Mensual","Si","Bajo"
100821,18,"Masculino","Casado",1,22707,1,1,"Semanal","Si","Alto"
101149,NA,"Masculino","Casado",1,22743,0,NA,"Semanal","Si","Bajo"
101036,19,"Masculino","Casado",1,22775,2,1,NA,"Si","Bajo"
101174,38,"Masculino",NA,1,22789,0,2,"Semanal","Si","Bajo"
100886,18,"Masculino","Casado",1,22795,2,1,"Mensual","Si","Bajo"
NA,22,"Masculino","Casado",1,22798,1,1,"Semanal","Si","Alto"
100953,38,"Masculino","Casado",NA,22812,0,1,NA,"Si","Bajo"
100817,18,"Masculino","Casado",1,22817,2,1,"Mensual","Si","Bajo"
101488,37,"Masculino","Casado",1,22818,2,2,"Semanal","Si","Bajo"
101781,24,"Masculino","Casado",1,22829,1,NA,"Semanal","Si","Bajo"
101777,27,"Masculino","Casado",1,22857,0,1,"Mensual","Si","Bajo"
101467,NA,"Masculino","Casado",1,22889,1,2,"Mensual","Si","Bajo"
101918,26,"Masculino","Casado",1,22905,0,1,"Mensual",NA,"Bajo"
100866,18,"Masculino","Casado",1,22925,2,1,"Mensual","Si","Bajo"
100963,19,"Masculino","Casado",1,22940,2,1,"Mensual","Si","Bajo"
NA,36,"Masculino","Casado",1,NA,2,2,"Mensual","Si","Bajo"
100880,18,"Masculino","Casado",1,22950,0,2,"Mensual","Si","Bajo"
101293,21,"Masculino","Casado",1,22961,1,2,"Mensual","Si","Bajo"
101552,22,"Masculino","Casado",1,23009,0,2,"Mensual","Si","Bajo"
101392,21,"Masculino","Casado",1,NA,NA,2,"Mensual","Si","Bajo"
101532,30,"Masculino","Casado",1,23039,0,1,"Semanal","Si","Bajo"
101391,29,"Masculino","Casado",1,23062,0,1,NA,"Si","Bajo"
101045,NA,"Masculino",NA,1,23086,1,2,"Semanal","Si","Bajo"
101845,24,"Masculino","Casado",1,23133,1,NA,"Mensual","Si","Bajo"
101676,23,"Masculino","Casado",NA,23147,0,2,"Semanal",NA,"Bajo"
101671,35,"Masculino","Casado",1,23158,1,2,NA,"Si","Bajo"
101693,23,NA,"Casado",1,23182,NA,2,"Mensual","Si","Bajo"
101363,21,"Masculino","Casado",1,23234,1,1,"Semanal","Si","Bajo"
NA,23,"Masculino",NA,1,23238,2,2,NA,"Si","Bajo"
101525,22,"Masculino","Casado",1,23253,0,2,"Mensual","Si","Bajo"
101663,23,"Masculino","Casado",NA,23299,2,1,"Mensual",NA,"Bajo"
101499,NA,"Masculino","Casado",1,23302,1,2,"Mensual","Si","Bajo"
101536,22,"Masculino","Casado",1,23314,2,2,"Semanal","Si","Bajo"
101839,24,"Masculino","Casado",1,23339,NA,1,"Semanal","Si","Bajo"
101496,22,"Masculino","Casado",1,23358,NA,1,"Semanal","Si","Bajo"
