age;job;marital;education;default;balance;housing;loan;contact;campaign;deposit
31;admin.;married;secondary;no;97;yes;no;unknown;1;yes
31;blue-collar;married;secondary;no;754;yes;no;unknown;4;yes
43;services;divorced;secondary;no;1040;yes;no;unknown;3;yes
37;management;divorced;tertiary;no;122;yes;no;unknown;2;yes
30;technician;single;tertiary;no;880;yes;yes;unknown;6;yes
41;technician;married;secondary;no;501;yes;no;unknown;5;yes
36;blue-collar;married;secondary;no;4438;yes;no;unknown;1;yes
35;blue-collar;divorced;secondary;no;0;yes;no;unknown;1;yes
29;services;single;secondary;no;271;yes;no;unknown;2;yes
35;blue-collar;married;primary;no;102;yes;no;unknown;1;yes
31;blue-collar;married;secondary;no;2;yes;no;unknown;2;yes
35;services;married;secondary;no;4170;yes;no;unknown;1;yes
34;technician;single;secondary;no;85;yes;no;unknown;4;yes
31;admin.;single;secondary;no;431;yes;yes;unknown;1;yes
44;technician;divorced;secondary;no;982;yes;no;unknown;3;yes
36;blue-collar;married;primary;no;408;yes;yes;unknown;2;yes
35;blue-collar;married;unknown;no;4822;yes;no;unknown;2;yes
41;blue-collar;married;primary;no;1250;yes;no;unknown;2;yes
31;blue-collar;single;primary;no;216;yes;no;unknown;1;yes
34;blue-collar;married;secondary;no;1207;yes;no;unknown;1;yes
32;technician;married;secondary;no;791;yes;no;unknown;2;yes
36;management;married;tertiary;no;849;yes;yes;unknown;2;yes
30;blue-collar;single;secondary;yes;239;yes;no;unknown;1;yes
37;technician;single;secondary;no;1211;yes;no;unknown;1;yes
36;blue-collar;married;primary;no;599;yes;no;unknown;2;yes
31;management;single;tertiary;no;825;yes;no;unknown;2;yes
27;technician;married;secondary;no;2183;yes;yes;unknown;1;yes
34;retired;married;primary;no;4499;no;no;unknown;1;yes
30;technician;single;tertiary;no;1289;yes;no;unknown;2;yes
32;technician;single;tertiary;no;4665;yes;no;unknown;2;yes
37;technician;single;secondary;no;3326;yes;no;unknown;1;yes
32;blue-collar;married;secondary;no;783;yes;no;unknown;3;yes
33;blue-collar;married;secondary;no;0;yes;no;unknown;3;yes
35;blue-collar;married;primary;no;994;yes;no;unknown;8;yes
35;self-employed;divorced;tertiary;no;1354;yes;no;unknown;2;yes
30;blue-collar;single;secondary;no;239;yes;no;unknown;1;yes
45;blue-collar;divorced;primary;no;-311;yes;no;unknown;1;yes
45;admin.;married;secondary;no;149;yes;no;unknown;3;yes
33;blue-collar;married;secondary;no;1464;yes;no;unknown;3;yes
44;management;divorced;tertiary;no;5773;no;no;unknown;6;yes
40;blue-collar;married;primary;no;278;yes;no;unknown;3;yes
31;blue-collar;married;secondary;no;2910;yes;no;unknown;2;yes
30;technician;married;tertiary;no;541;yes;no;unknown;2;yes
44;technician;divorced;secondary;no;1262;yes;no;unknown;11;yes
34;services;married;secondary;no;-538;yes;no;unknown;1;yes
37;blue-collar;married;secondary;no;125;no;no;unknown;2;yes
28;self-employed;single;tertiary;no;0;yes;no;unknown;2;yes
32;admin.;single;secondary;no;620;yes;no;unknown;3;yes
37;blue-collar;divorced;secondary;no;316;yes;no;unknown;2;yes
34;management;married;tertiary;no;2287;yes;no;unknown;4;yes
38;admin.;divorced;secondary;no;198;yes;no;unknown;2;yes
28;admin.;single;secondary;no;460;yes;no;unknown;6;yes
31;management;divorced;tertiary;no;1145;yes;no;unknown;4;yes
59;services;married;secondary;no;-22;yes;no;unknown;3;yes
24;blue-collar;married;secondary;no;685;yes;no;unknown;3;yes
26;services;single;secondary;no;901;yes;no;unknown;2;yes
59;retired;single;secondary;no;351;yes;no;unknown;5;yes
30;entrepreneur;single;primary;no;0;yes;yes;unknown;1;yes
37;admin.;married;secondary;no;274;yes;no;unknown;3;yes
30;admin.;single;secondary;no;-213;yes;yes;unknown;1;yes
25;blue-collar;married;secondary;no;97;yes;no;unknown;1;yes
44;services;divorced;secondary;no;51;yes;yes;unknown;2;yes
29;management;married;tertiary;no;314;no;no;unknown;2;yes
26;management;single;tertiary;no;6840;yes;no;unknown;2;yes
26;technician;single;secondary;no;668;yes;no;unknown;3;yes
27;services;single;secondary;no;54;yes;no;unknown;2;yes
25;self-employed;single;secondary;no;1242;yes;no;unknown;2;yes
28;management;married;secondary;no;292;yes;no;unknown;1;yes
23;services;single;secondary;no;665;yes;no;unknown;1;yes
34;management;single;tertiary;no;1058;yes;no;unknown;2;yes
28;student;single;secondary;no;949;yes;no;unknown;1;yes
51;entrepreneur;married;unknown;no;606;yes;no;unknown;9;yes
35;blue-collar;married;secondary;no;0;yes;yes;unknown;1;yes
35;admin.;married;secondary;no;404;yes;no;unknown;1;yes
56;blue-collar;married;secondary;no;249;yes;no;unknown;2;yes
45;unemployed;divorced;secondary;no;3354;yes;no;unknown;1;yes
60;blue-collar;divorced;secondary;no;0;yes;no;unknown;1;yes
56;technician;married;secondary;no;589;yes;no;unknown;2;yes
27;management;single;tertiary;no;12956;yes;no;unknown;3;yes
30;admin.;married;secondary;no;873;yes;no;unknown;3;yes
45;blue-collar;divorced;primary;no;594;yes;no;unknown;2;yes
29;blue-collar;single;secondary;no;-20;yes;no;unknown;2;yes
38;management;divorced;tertiary;no;4692;yes;no;unknown;2;yes
30;blue-collar;married;secondary;no;486;yes;no;unknown;3;yes
44;blue-collar;single;primary;no;1593;yes;no;unknown;3;yes
36;management;single;tertiary;no;7606;yes;no;unknown;1;yes
38;technician;married;secondary;no;226;yes;no;unknown;3;yes
36;blue-collar;single;secondary;no;366;yes;yes;unknown;2;yes
37;management;divorced;secondary;no;16;yes;no;unknown;1;yes
35;management;single;tertiary;no;565;yes;no;unknown;1;yes
38;admin.;divorced;secondary;no;19;yes;no;unknown;2;yes
40;services;married;primary;no;1082;yes;no;unknown;2;yes
42;unemployed;divorced;secondary;no;1713;yes;no;unknown;2;yes
46;management;divorced;tertiary;no;14481;yes;no;unknown;1;yes
35;technician;divorced;secondary;no;5724;yes;no;unknown;10;yes
34;technician;divorced;secondary;no;1451;yes;no;unknown;15;yes
32;services;married;secondary;no;-34;yes;no;unknown;2;yes
50;unemployed;married;secondary;no;3674;yes;no;unknown;3;yes
35;blue-collar;married;secondary;no;698;yes;yes;unknown;3;yes
36;technician;single;secondary;no;4136;yes;no;unknown;3;yes
53;blue-collar;divorced;primary;no;2656;yes;no;unknown;2;yes
46;management;single;tertiary;no;2904;yes;no;unknown;2;yes
26;management;single;tertiary;no;1004;yes;no;unknown;2;yes
45;technician;single;secondary;no;410;yes;no;unknown;4;yes
31;unemployed;divorced;primary;no;0;yes;no;unknown;12;yes
29;management;single;tertiary;no;0;yes;no;unknown;12;yes
53;entrepreneur;single;secondary;no;62;yes;no;unknown;5;yes
27;blue-collar;married;primary;no;416;yes;no;unknown;2;yes
39;management;married;tertiary;no;2763;yes;no;unknown;2;yes
36;services;married;secondary;no;2984;yes;no;unknown;1;yes
41;blue-collar;married;primary;no;143;yes;yes;unknown;2;yes
36;services;married;primary;no;0;yes;no;unknown;1;yes
32;technician;married;secondary;no;696;yes;no;unknown;1;yes
35;services;married;secondary;no;152;yes;no;unknown;1;yes
36;management;single;tertiary;no;-78;yes;no;unknown;1;yes
35;management;married;tertiary;no;867;yes;no;unknown;3;yes
30;blue-collar;single;secondary;no;953;yes;no;unknown;2;yes
42;blue-collar;married;secondary;no;443;yes;no;unknown;5;yes
42;technician;single;secondary;yes;-1129;yes;no;unknown;5;yes
32;blue-collar;married;primary;no;415;yes;no;unknown;4;yes
29;blue-collar;single;secondary;no;260;yes;no;unknown;14;yes
44;management;divorced;tertiary;yes;-411;yes;no;unknown;4;yes
32;technician;single;secondary;no;1279;yes;no;unknown;3;yes
31;unemployed;married;secondary;no;86;yes;yes;unknown;2;yes
40;self-employed;married;secondary;yes;-754;yes;yes;unknown;3;yes
43;entrepreneur;married;secondary;no;0;no;no;unknown;7;yes
27;management;single;secondary;no;178;yes;no;unknown;2;yes
37;services;single;secondary;no;278;yes;no;unknown;3;yes
23;services;single;secondary;no;425;yes;no;unknown;1;yes
25;management;married;primary;no;168;yes;no;unknown;1;yes
26;blue-collar;single;secondary;yes;-36;yes;no;unknown;2;yes
47;blue-collar;divorced;primary;no;126;yes;no;unknown;2;yes
35;admin.;married;secondary;no;-87;yes;no;unknown;7;yes
32;technician;single;tertiary;no;6281;yes;no;unknown;4;yes
45;management;divorced;secondary;no;644;yes;no;unknown;1;yes
30;admin.;divorced;secondary;no;377;yes;no;unknown;15;yes
29;services;single;secondary;no;-271;yes;no;unknown;1;yes
38;blue-collar;married;primary;no;5839;yes;no;unknown;2;yes
23;blue-collar;single;secondary;no;492;yes;no;unknown;1;yes
27;management;single;tertiary;no;99;yes;no;unknown;2;yes
27;management;single;tertiary;yes;-713;yes;no;unknown;2;yes
29;services;single;secondary;no;32;yes;no;unknown;1;yes
30;self-employed;married;tertiary;no;543;yes;yes;unknown;6;yes
36;blue-collar;married;primary;no;403;yes;no;unknown;1;yes
35;admin.;divorced;secondary;no;437;yes;no;unknown;1;yes
36;blue-collar;married;secondary;no;1772;no;no;unknown;1;yes
59;retired;divorced;primary;no;-88;yes;no;unknown;2;yes
47;entrepreneur;married;secondary;no;0;no;no;unknown;1;yes
58;entrepreneur;married;tertiary;no;853;no;no;unknown;2;yes
37;management;single;tertiary;no;240;no;no;unknown;1;yes
46;admin.;single;secondary;no;849;yes;no;unknown;2;yes
43;blue-collar;single;secondary;no;318;yes;no;unknown;2;yes
27;management;single;tertiary;no;703;yes;no;unknown;3;yes
38;services;divorced;secondary;no;61;no;no;unknown;1;yes
53;housemaid;married;primary;no;104;no;yes;unknown;1;yes
47;blue-collar;married;secondary;no;1996;no;no;unknown;2;yes
56;housemaid;divorced;primary;yes;1238;no;no;unknown;1;yes
41;housemaid;married;secondary;no;879;no;no;unknown;2;yes
29;self-employed;married;secondary;no;425;yes;no;unknown;15;yes
50;technician;married;secondary;no;416;yes;no;unknown;5;yes
45;blue-collar;divorced;primary;no;844;no;no;unknown;3;yes
35;blue-collar;married;secondary;no;860;yes;no;unknown;4;yes
26;technician;single;secondary;no;639;yes;no;unknown;5;yes
26;admin.;married;secondary;no;710;yes;yes;unknown;2;yes
37;blue-collar;married;unknown;no;1508;no;yes;unknown;2;yes
30;admin.;single;secondary;no;223;yes;no;unknown;11;yes
38;management;single;tertiary;no;619;yes;no;unknown;4;yes
37;services;divorced;secondary;no;319;yes;no;unknown;3;yes
53;technician;married;secondary;no;480;no;no;unknown;2;yes
29;blue-collar;single;primary;no;213;yes;no;unknown;3;yes
35;management;single;tertiary;no;68;no;no;unknown;1;yes
28;blue-collar;married;secondary;no;2788;yes;no;unknown;2;yes
55;blue-collar;married;unknown;no;7561;no;no;unknown;3;yes
49;management;divorced;secondary;no;-46;yes;no;unknown;10;yes
50;services;married;secondary;no;1595;no;no;unknown;1;yes
43;management;single;tertiary;no;1046;no;no;unknown;1;yes
58;self-employed;divorced;tertiary;no;1382;no;no;unknown;1;yes
38;technician;married;primary;no;217;yes;no;unknown;6;yes
48;blue-collar;divorced;primary;no;183;no;no;unknown;1;yes
59;management;married;secondary;no;1321;no;no;unknown;3;yes
58;blue-collar;married;secondary;no;25;no;no;unknown;3;yes
36;self-employed;single;tertiary;no;4844;no;no;unknown;3;yes
42;entrepreneur;married;tertiary;no;5345;no;no;unknown;3;yes
41;admin.;single;secondary;no;812;no;yes;unknown;4;yes
42;admin.;married;secondary;no;105;no;no;unknown;4;yes
39;management;married;tertiary;no;-190;no;yes;unknown;8;yes
57;housemaid;married;primary;no;625;no;yes;unknown;1;yes
52;retired;married;unknown;no;293;no;no;unknown;1;yes
59;retired;married;unknown;no;1033;no;no;unknown;1;yes
56;blue-collar;married;secondary;no;1210;no;no;unknown;1;yes
49;management;married;tertiary;no;64;no;no;unknown;1;yes
35;blue-collar;divorced;unknown;no;164;no;no;unknown;2;yes
36;unemployed;married;secondary;no;1766;no;no;unknown;2;yes
40;admin.;single;tertiary;no;1248;no;no;unknown;2;yes
55;blue-collar;married;secondary;no;0;no;no;unknown;2;yes
58;admin.;married;secondary;no;826;no;no;unknown;1;yes
39;self-employed;married;tertiary;no;2630;no;no;unknown;5;yes
47;housemaid;single;tertiary;no;3727;no;no;unknown;6;yes
40;management;married;secondary;no;406;yes;no;unknown;2;yes
35;blue-collar;married;tertiary;no;2999;no;no;unknown;6;yes
48;blue-collar;married;secondary;no;1000;yes;no;unknown;2;yes
48;management;divorced;tertiary;no;503;no;yes;unknown;7;yes
24;blue-collar;single;secondary;yes;-203;yes;no;unknown;3;yes
49;blue-collar;married;primary;no;361;yes;no;unknown;2;yes
36;blue-collar;married;secondary;no;274;yes;no;unknown;11;yes
52;retired;divorced;tertiary;no;3687;yes;yes;unknown;4;yes
42;entrepreneur;single;unknown;no;323;no;no;unknown;1;yes
36;services;married;secondary;no;981;no;no;unknown;1;yes
36;blue-collar;divorced;secondary;no;638;yes;no;unknown;2;yes
48;unemployed;single;tertiary;no;3229;no;no;unknown;1;yes
51;management;single;secondary;no;1610;yes;no;unknown;3;yes
51;blue-collar;married;secondary;no;33;no;yes;unknown;3;yes
46;technician;married;secondary;no;536;yes;no;unknown;2;yes
37;management;married;tertiary;no;0;no;no;unknown;6;yes
36;entrepreneur;married;tertiary;no;3057;no;no;unknown;4;yes
47;management;married;secondary;no;2892;no;no;unknown;1;yes
40;technician;divorced;tertiary;no;0;no;no;unknown;1;yes
38;student;single;tertiary;no;3316;no;no;unknown;3;yes
40;management;married;secondary;no;106;no;no;unknown;2;yes
39;blue-collar;married;primary;no;2303;yes;no;unknown;3;yes
60;management;married;tertiary;no;3301;no;no;unknown;3;yes
39;self-employed;single;tertiary;no;426;no;no;unknown;1;yes
51;services;divorced;secondary;no;9;no;no;unknown;2;yes
27;admin.;married;secondary;no;-97;yes;no;unknown;2;yes
41;management;single;tertiary;no;11008;no;no;unknown;1;yes
42;blue-collar;single;primary;no;4930;no;no;unknown;1;yes
41;entrepreneur;married;secondary;no;707;no;no;unknown;1;yes
33;technician;married;secondary;no;4;yes;yes;unknown;2;yes
46;admin.;married;secondary;no;126;no;no;unknown;1;yes
31;blue-collar;married;secondary;no;671;yes;no;unknown;4;yes
41;blue-collar;married;primary;no;219;no;yes;unknown;3;yes
41;blue-collar;divorced;secondary;no;3622;no;no;unknown;4;yes
55;retired;divorced;secondary;no;1580;no;yes;unknown;1;yes
53;technician;married;secondary;no;1319;no;no;unknown;3;yes
55;housemaid;married;primary;no;2152;no;no;unknown;2;yes
39;services;married;secondary;no;2843;yes;no;unknown;1;yes
40;entrepreneur;married;tertiary;yes;0;no;no;unknown;4;yes
59;retired;married;primary;no;1115;no;no;unknown;1;yes
42;blue-collar;single;secondary;no;625;no;no;unknown;3;yes
41;blue-collar;married;primary;no;246;no;no;unknown;3;yes
27;blue-collar;married;secondary;no;61;yes;no;unknown;1;yes
25;blue-collar;single;secondary;no;-191;yes;no;unknown;7;yes
43;unemployed;married;primary;no;519;no;no;unknown;2;yes
44;services;married;secondary;no;522;no;yes;unknown;1;yes
26;blue-collar;single;secondary;no;-46;yes;no;unknown;7;yes
52;retired;married;tertiary;no;2269;no;no;unknown;1;yes
54;services;married;unknown;no;386;no;yes;unknown;1;yes
56;management;married;tertiary;no;0;no;yes;unknown;1;yes
57;management;married;tertiary;no;9103;no;yes;unknown;2;yes
29;blue-collar;single;secondary;no;908;yes;no;unknown;1;yes
47;technician;married;tertiary;no;1694;no;yes;unknown;3;yes
57;management;married;tertiary;no;-92;yes;yes;unknown;1;yes
40;blue-collar;married;secondary;no;188;yes;yes;unknown;2;yes
46;services;divorced;secondary;no;0;no;no;unknown;3;yes
43;blue-collar;single;secondary;no;740;yes;no;unknown;2;yes
45;management;married;tertiary;no;655;no;no;unknown;3;yes
24;management;married;secondary;no;867;yes;no;unknown;10;yes
40;blue-collar;married;secondary;no;1009;yes;yes;unknown;5;yes
38;services;divorced;unknown;no;6360;no;no;unknown;2;yes
36;unemployed;married;tertiary;no;4145;no;no;unknown;4;yes
27;blue-collar;single;secondary;yes;-27;no;no;unknown;2;yes
26;admin.;single;primary;no;-122;yes;no;unknown;3;yes
43;management;married;tertiary;no;149;yes;no;unknown;2;yes
25;blue-collar;single;primary;no;52;yes;no;unknown;2;yes
27;blue-collar;married;tertiary;no;335;yes;no;unknown;3;yes
30;technician;married;tertiary;no;526;yes;yes;unknown;3;yes
28;admin.;single;secondary;no;-7;no;yes;unknown;2;yes
27;blue-collar;married;primary;no;-413;no;yes;unknown;6;yes
32;admin.;divorced;secondary;no;-241;no;yes;unknown;2;yes
41;blue-collar;single;secondary;no;75;yes;no;unknown;9;yes
37;technician;single;tertiary;no;0;no;no;unknown;2;yes
27;technician;single;secondary;no;158;no;no;unknown;2;yes
29;services;single;secondary;no;84;no;yes;unknown;3;yes
33;services;married;secondary;no;114;no;yes;unknown;1;yes
36;technician;married;primary;no;0;no;no;unknown;1;yes
28;blue-collar;single;secondary;no;-127;yes;no;cellular;3;yes
55;blue-collar;married;secondary;no;49;yes;no;cellular;4;yes
51;technician;married;secondary;no;216;no;no;cellular;2;yes
39;technician;single;secondary;no;506;yes;no;cellular;2;yes
42;blue-collar;divorced;primary;no;213;yes;no;cellular;3;yes
33;services;single;secondary;no;170;no;no;cellular;1;yes
36;entrepreneur;divorced;tertiary;no;776;no;yes;cellular;3;yes
45;technician;married;secondary;no;879;no;no;cellular;2;yes
37;self-employed;married;secondary;no;1633;no;no;cellular;2;yes
46;unemployed;married;secondary;no;926;no;no;cellular;5;yes
32;self-employed;single;tertiary;no;2559;no;no;cellular;1;yes
28;technician;single;secondary;no;909;no;yes;cellular;1;yes
45;admin.;divorced;secondary;no;-176;no;yes;cellular;1;yes
41;blue-collar;single;secondary;yes;1085;yes;yes;cellular;1;yes
59;blue-collar;divorced;primary;no;1265;no;yes;cellular;1;yes
47;technician;single;secondary;no;-239;yes;yes;cellular;3;yes
31;blue-collar;single;secondary;no;726;no;no;cellular;2;yes
31;management;single;tertiary;no;296;no;yes;cellular;4;yes
33;entrepreneur;married;secondary;no;-627;yes;yes;cellular;1;yes
52;entrepreneur;married;tertiary;yes;-468;no;no;cellular;1;yes
26;self-employed;single;secondary;no;551;no;no;cellular;1;yes
25;technician;single;secondary;no;0;no;yes;cellular;1;yes
25;blue-collar;married;secondary;no;101;no;yes;cellular;3;yes
28;blue-collar;single;secondary;no;517;no;yes;cellular;1;yes
33;entrepreneur;divorced;tertiary;no;37;no;yes;cellular;1;yes
45;management;divorced;tertiary;no;854;no;yes;cellular;1;yes
36;services;married;secondary;no;30;no;yes;cellular;5;yes
26;blue-collar;single;secondary;yes;81;no;yes;cellular;2;yes
38;technician;married;secondary;no;0;no;no;cellular;1;yes
56;blue-collar;single;secondary;no;663;no;yes;cellular;3;yes
26;admin.;single;secondary;no;102;no;yes;cellular;2;yes
26;technician;married;secondary;no;370;no;yes;cellular;4;yes
25;blue-collar;single;secondary;no;189;no;yes;cellular;2;yes
26;unemployed;single;secondary;no;111;no;no;cellular;1;yes
40;blue-collar;married;primary;no;665;yes;no;cellular;1;yes
37;admin.;married;primary;no;214;yes;no;cellular;1;yes
43;blue-collar;single;primary;no;0;no;no;cellular;1;yes
41;services;divorced;tertiary;no;1583;yes;no;cellular;1;yes
49;blue-collar;married;secondary;no;0;no;yes;cellular;1;yes
29;admin.;divorced;tertiary;yes;0;no;yes;cellular;3;yes
39;services;divorced;secondary;no;687;yes;no;cellular;1;yes
38;management;married;tertiary;yes;327;yes;yes;cellular;5;yes
26;technician;married;secondary;no;-119;no;yes;cellular;5;yes
32;management;married;tertiary;no;794;yes;yes;cellular;1;yes
33;blue-collar;married;primary;no;-191;yes;yes;cellular;4;yes
31;management;single;tertiary;no;409;no;yes;cellular;5;yes
49;blue-collar;married;primary;no;3;no;yes;cellular;6;yes
27;unemployed;single;primary;no;9;no;yes;cellular;2;yes
30;blue-collar;single;secondary;no;155;yes;yes;cellular;3;yes
35;blue-collar;married;secondary;no;1330;no;no;cellular;1;yes
26;blue-collar;single;secondary;no;-29;yes;no;cellular;4;yes
45;entrepreneur;married;unknown;no;3133;yes;yes;cellular;1;yes
34;admin.;married;secondary;no;-33;yes;yes;cellular;1;yes
28;admin.;single;secondary;no;-170;no;yes;cellular;2;yes
25;blue-collar;single;secondary;no;1243;no;yes;cellular;7;yes
30;blue-collar;single;secondary;no;1598;yes;no;cellular;1;yes
30;services;married;secondary;no;5;no;yes;cellular;5;yes
47;services;married;secondary;no;367;yes;no;cellular;4;yes
57;admin.;divorced;secondary;no;658;no;no;cellular;1;yes
38;management;married;tertiary;no;1722;yes;no;cellular;1;yes
54;technician;married;secondary;no;-315;no;yes;cellular;1;yes
25;blue-collar;single;primary;no;2483;no;no;cellular;3;yes
30;blue-collar;married;secondary;no;0;yes;yes;cellular;1;yes
26;management;single;tertiary;no;45;no;no;cellular;3;yes
31;student;married;primary;no;46;yes;no;cellular;1;yes
29;blue-collar;single;secondary;no;482;no;yes;cellular;3;yes
49;blue-collar;married;secondary;no;3728;yes;no;cellular;2;yes
60;retired;divorced;secondary;no;1099;no;no;cellular;2;yes
60;management;married;tertiary;no;2222;yes;no;cellular;2;yes
29;management;single;tertiary;no;983;yes;no;cellular;2;yes
55;management;divorced;secondary;no;204;yes;no;cellular;2;yes
44;admin.;married;secondary;no;1074;yes;no;cellular;2;yes
47;technician;married;secondary;no;3466;yes;no;cellular;2;yes
35;admin.;married;secondary;no;-203;yes;no;cellular;2;yes
35;entrepreneur;married;secondary;no;2436;no;yes;cellular;3;yes
38;technician;married;secondary;no;976;yes;no;cellular;3;yes
34;entrepreneur;married;tertiary;no;146;yes;no;cellular;2;yes
50;technician;married;secondary;no;156;no;yes;cellular;3;yes
43;admin.;married;tertiary;no;189;yes;no;cellular;4;yes
44;admin.;divorced;secondary;no;163;yes;no;cellular;2;yes
51;services;divorced;secondary;no;242;no;yes;cellular;4;yes
31;technician;married;secondary;no;1173;yes;no;cellular;3;yes
39;technician;married;tertiary;no;0;yes;no;cellular;7;yes
59;management;married;tertiary;no;296;no;yes;cellular;3;yes
