age;job;balance;loan;marital;education;default;housing;contact;campaign;deposit
36;blue-collar;1165;no;married;secondary;no;yes;unknown;4;yes
52;management;2240;no;married;unknown;no;yes;unknown;1;yes
35;blue-collar;300;no;divorced;primary;no;yes;unknown;2;yes
43;technician;3285;no;married;secondary;no;yes;unknown;2;yes
52;housemaid;3923;no;married;secondary;no;yes;unknown;3;yes
53;technician;1443;no;divorced;primary;no;yes;unknown;1;yes
48;blue-collar;24;no;divorced;primary;no;yes;unknown;1;yes
41;blue-collar;1618;NA;single;primary;no;yes;unknown;1;yes
39;management;517;yes;divorced;tertiary;no;yes;unknown;1;yes
59;retired;1521;yes;married;secondary;no;yes;unknown;2;yes
41;blue-collar;2823;no;married;secondary;no;yes;unknown;1;yes
48;blue-collar;1405;no;married;secondary;no;yes;unknown;2;yes
40;admin.;1535;no;married;secondary;no;yes;unknown;1;yes
48;blue-collar;1596;no;married;secondary;no;yes;unknown;1;yes
60;retired;1542;no;married;primary;no;yes;unknown;1;yes
40;technician;3652;NA;single;unknown;no;yes;unknown;2;yes
57;technician;-1;NA;married;tertiary;no;no;unknown;2;yes
51;blue-collar;7180;no;married;secondary;no;yes;unknown;1;yes
41;blue-collar;5291;no;divorced;secondary;no;yes;unknown;3;yes
41;blue-collar;1384;no;married;secondary;no;yes;unknown;4;yes
52;blue-collar;-191;no;divorced;primary;no;yes;unknown;1;yes
59;blue-collar;320;no;married;primary;no;yes;unknown;1;yes
44;blue-collar;146;no;married;unknown;no;yes;unknown;1;yes
49;unknown;341;yes;married;primary;no;yes;unknown;2;yes
40;services;-9;no;married;primary;no;yes;unknown;2;yes
41;admin.;-306;no;married;primary;no;yes;unknown;1;yes
44;technician;4580;no;married;tertiary;no;yes;unknown;2;yes
60;services;313;no;single;primary;no;yes;unknown;2;yes
29;management;10576;no;married;tertiary;no;no;unknown;2;yes
41;retired;-233;NA;divorced;primary;no;yes;unknown;2;yes
41;blue-collar;2453;no;married;primary;no;yes;unknown;1;yes
42;technician;1364;no;single;secondary;no;yes;unknown;6;yes
36;NA;281;no;single;unknown;no;yes;unknown;1;yes
39;technician;94;yes;married;tertiary;no;yes;unknown;1;yes
31;self-employed;144;no;single;tertiary;no;yes;unknown;1;yes
26;blue-collar;246;no;married;secondary;no;yes;unknown;3;yes
31;blue-collar;92;no;married;secondary;no;yes;unknown;1;yes
29;admin.;163;yes;single;secondary;no;yes;unknown;1;yes
37;services;49;no;divorced;secondary;no;yes;unknown;2;yes
33;blue-collar;-416;no;single;secondary;no;yes;unknown;2;yes
24;technician;409;no;single;secondary;no;yes;unknown;1;yes
50;admin.;363;no;divorced;secondary;no;yes;unknown;1;yes
27;technician;3706;no;single;tertiary;no;yes;unknown;1;yes
54;NA;4393;no;single;tertiary;no;yes;unknown;3;yes
30;technician;863;no;single;secondary;no;yes;unknown;5;yes
34;blue-collar;695;yes;married;primary;no;yes;unknown;4;yes
37;management;792;no;single;secondary;no;yes;unknown;4;yes
41;NA;1020;no;single;secondary;no;yes;unknown;1;yes
47;blue-collar;863;no;married;secondary;no;yes;unknown;2;yes
31;admin.;97;no;married;secondary;no;yes;unknown;1;yes
31;blue-collar;754;no;married;secondary;no;yes;unknown;4;yes
43;services;1040;no;divorced;secondary;no;yes;unknown;3;yes
37;management;122;no;divorced;tertiary;no;yes;unknown;2;yes
30;technician;880;yes;single;tertiary;no;yes;unknown;6;yes
41;technician;501;no;married;secondary;no;yes;unknown;5;yes
36;blue-collar;4438;no;married;secondary;no;yes;unknown;1;yes
35;blue-collar;0;no;divorced;secondary;no;yes;unknown;1;yes
29;services;271;no;single;secondary;no;yes;unknown;2;yes
35;blue-collar;102;no;married;primary;no;yes;unknown;1;yes
31;blue-collar;2;no;married;secondary;no;yes;unknown;2;yes
35;NA;4170;no;married;secondary;no;yes;unknown;1;yes
34;technician;85;no;single;secondary;no;yes;unknown;4;yes
31;admin.;431;yes;single;secondary;no;yes;unknown;1;yes
44;technician;982;no;divorced;secondary;no;yes;unknown;3;yes
36;blue-collar;408;yes;married;primary;no;yes;unknown;2;yes
NA;blue-collar;4822;no;married;unknown;no;yes;unknown;2;yes
41;blue-collar;1250;no;married;primary;no;yes;unknown;2;yes
31;blue-collar;216;no;single;primary;no;yes;unknown;1;yes
34;blue-collar;1207;no;married;secondary;no;yes;unknown;1;yes
32;technician;791;no;married;secondary;no;yes;unknown;2;yes
36;management;849;yes;married;tertiary;no;yes;unknown;2;yes
30;blue-collar;239;no;single;secondary;yes;yes;unknown;1;yes
37;technician;1211;no;single;secondary;no;yes;unknown;1;yes
36;NA;599;no;married;primary;no;yes;unknown;2;yes
31;management;825;no;single;tertiary;no;yes;unknown;2;yes
27;technician;2183;yes;married;secondary;no;yes;unknown;1;yes
NA;retired;4499;no;married;primary;no;no;unknown;1;yes
30;technician;1289;no;single;tertiary;no;yes;unknown;2;yes
32;technician;NA;no;single;tertiary;no;yes;unknown;2;yes
37;technician;3326;no;single;secondary;no;yes;unknown;1;yes
32;blue-collar;783;no;married;secondary;no;yes;unknown;3;yes
33;blue-collar;0;no;married;secondary;no;yes;unknown;3;yes
35;blue-collar;994;no;married;primary;no;yes;unknown;8;yes
35;self-employed;NA;no;divorced;tertiary;no;yes;unknown;2;yes
30;blue-collar;239;no;single;secondary;no;yes;unknown;1;yes
45;blue-collar;-311;no;divorced;primary;no;yes;unknown;1;yes
45;admin.;NA;no;married;secondary;no;yes;unknown;3;yes
33;blue-collar;1464;no;married;secondary;no;yes;unknown;3;yes
44;NA;5773;no;divorced;tertiary;no;no;unknown;6;yes
40;blue-collar;278;no;married;primary;no;yes;unknown;3;yes
31;blue-collar;2910;no;married;secondary;no;yes;unknown;2;yes
30;technician;541;no;married;tertiary;no;yes;unknown;2;yes
44;technician;1262;no;divorced;secondary;no;yes;unknown;11;yes
34;services;-538;no;married;secondary;no;yes;unknown;1;yes
37;blue-collar;125;no;married;secondary;no;no;unknown;2;yes
28;self-employed;0;no;single;tertiary;no;yes;unknown;2;yes
32;admin.;620;no;single;secondary;no;yes;unknown;3;yes
37;blue-collar;316;no;divorced;secondary;no;yes;unknown;2;yes
34;management;2287;no;married;tertiary;no;yes;unknown;4;yes
38;admin.;198;no;divorced;secondary;no;yes;unknown;2;yes
28;admin.;460;no;single;secondary;no;yes;unknown;6;yes
NA;management;1145;no;divorced;tertiary;no;yes;unknown;4;yes
59;services;-22;no;married;secondary;no;yes;unknown;3;yes
24;blue-collar;685;no;married;secondary;no;yes;unknown;3;yes
26;services;901;no;single;secondary;no;yes;unknown;2;yes
59;retired;351;no;single;secondary;no;yes;unknown;5;yes
30;entrepreneur;0;yes;single;primary;no;yes;unknown;1;yes
37;admin.;274;no;married;secondary;no;yes;unknown;3;yes
30;admin.;-213;yes;single;secondary;no;yes;unknown;1;yes
25;blue-collar;97;no;married;secondary;no;yes;unknown;1;yes
44;services;51;yes;divorced;secondary;no;yes;unknown;2;yes
NA;NA;314;no;married;tertiary;no;no;unknown;2;yes
26;management;6840;no;single;tertiary;no;yes;unknown;2;yes
26;technician;668;no;single;secondary;no;yes;unknown;3;yes
27;services;54;no;single;secondary;no;yes;unknown;2;yes
25;self-employed;NA;no;single;secondary;no;yes;unknown;2;yes
28;management;NA;no;married;secondary;no;yes;unknown;1;yes
23;NA;NA;no;single;secondary;no;yes;unknown;1;yes
NA;management;1058;no;single;tertiary;no;yes;unknown;2;yes
28;student;949;no;single;secondary;no;yes;unknown;1;yes
51;entrepreneur;606;no;married;unknown;no;yes;unknown;9;yes
35;blue-collar;0;yes;married;secondary;no;yes;unknown;1;yes
35;admin.;404;no;married;secondary;no;yes;unknown;1;yes
56;blue-collar;249;no;married;secondary;no;yes;unknown;2;yes
45;unemployed;3354;no;divorced;secondary;no;yes;unknown;1;yes
60;blue-collar;0;no;divorced;secondary;no;yes;unknown;1;yes
56;technician;589;no;married;secondary;no;yes;unknown;2;yes
27;management;12956;no;single;tertiary;no;yes;unknown;3;yes
30;admin.;873;no;married;secondary;no;yes;unknown;3;yes
45;blue-collar;594;no;divorced;primary;no;yes;unknown;2;yes
29;blue-collar;-20;no;single;secondary;no;yes;unknown;2;yes
38;management;4692;no;divorced;tertiary;no;yes;unknown;2;yes
30;blue-collar;486;no;married;secondary;no;yes;unknown;3;yes
44;blue-collar;1593;no;single;primary;no;yes;unknown;3;yes
36;management;7606;no;single;tertiary;no;yes;unknown;1;yes
38;technician;226;no;married;secondary;no;yes;unknown;3;yes
36;blue-collar;NA;yes;single;secondary;no;yes;unknown;2;yes
37;management;16;no;divorced;secondary;no;yes;unknown;1;yes
35;management;565;no;single;tertiary;no;yes;unknown;1;yes
38;admin.;19;no;divorced;secondary;no;yes;unknown;2;yes
NA;services;1082;no;married;primary;no;yes;unknown;2;yes
42;unemployed;1713;no;divorced;secondary;no;yes;unknown;2;yes
46;management;14481;no;divorced;tertiary;no;yes;unknown;1;yes
35;technician;NA;no;divorced;secondary;no;yes;unknown;10;yes
34;technician;1451;no;divorced;secondary;no;yes;unknown;15;yes
32;services;-34;no;married;secondary;no;yes;unknown;2;yes
50;unemployed;3674;no;married;secondary;no;yes;unknown;3;yes
35;blue-collar;698;yes;married;secondary;no;yes;unknown;3;yes
36;technician;4136;no;single;secondary;no;yes;unknown;3;yes
53;blue-collar;2656;no;divorced;primary;no;yes;unknown;2;yes
46;management;2904;no;single;tertiary;no;yes;unknown;2;yes
26;management;1004;no;single;tertiary;no;yes;unknown;2;yes
45;technician;410;no;single;secondary;no;yes;unknown;4;yes
31;unemployed;0;no;divorced;primary;no;yes;unknown;12;yes
29;management;0;no;single;tertiary;no;yes;unknown;12;yes
53;entrepreneur;62;no;single;secondary;no;yes;unknown;5;yes
27;blue-collar;416;no;married;primary;no;yes;unknown;2;yes
39;management;NA;no;married;tertiary;no;yes;unknown;2;yes
36;services;2984;no;married;secondary;no;yes;unknown;1;yes
41;blue-collar;143;yes;married;primary;no;yes;unknown;2;yes
36;services;NA;no;married;primary;no;yes;unknown;1;yes
32;technician;NA;no;married;secondary;no;yes;unknown;1;yes
35;services;152;no;married;secondary;no;yes;unknown;1;yes
36;management;-78;no;single;tertiary;no;yes;unknown;1;yes
35;management;867;no;married;tertiary;no;yes;unknown;3;yes
30;blue-collar;953;no;single;secondary;no;yes;unknown;2;yes
42;blue-collar;443;no;married;secondary;no;yes;unknown;5;yes
NA;technician;-1129;NA;single;secondary;yes;yes;unknown;5;yes
NA;blue-collar;415;no;married;primary;no;yes;unknown;4;yes
NA;blue-collar;260;no;single;secondary;no;yes;unknown;14;yes
44;management;-411;no;divorced;tertiary;yes;yes;unknown;4;yes
32;technician;1279;NA;single;secondary;no;yes;unknown;3;yes
31;NA;86;NA;married;secondary;no;yes;unknown;2;yes
40;self-employed;-754;yes;married;secondary;yes;yes;unknown;3;yes
43;entrepreneur;NA;no;married;secondary;no;no;unknown;7;yes
27;management;178;no;single;secondary;no;yes;unknown;2;yes
37;services;NA;no;single;secondary;no;yes;unknown;3;yes
NA;services;425;no;single;secondary;no;yes;unknown;1;yes
25;management;168;no;married;primary;no;yes;unknown;1;yes
26;blue-collar;-36;no;single;secondary;yes;yes;unknown;2;yes
47;NA;126;no;divorced;primary;no;yes;unknown;2;yes
35;admin.;-87;no;married;secondary;no;yes;unknown;7;yes
32;technician;6281;no;single;tertiary;no;yes;unknown;4;yes
45;management;644;no;divorced;secondary;no;yes;unknown;1;yes
30;admin.;377;no;divorced;secondary;no;yes;unknown;15;yes
29;services;NA;no;single;secondary;no;yes;unknown;1;yes
38;blue-collar;5839;no;married;primary;no;yes;unknown;2;yes
23;blue-collar;492;no;single;secondary;no;yes;unknown;1;yes
27;management;99;no;single;tertiary;no;yes;unknown;2;yes
27;management;-713;no;single;tertiary;yes;yes;unknown;2;yes
29;services;32;no;single;secondary;no;yes;unknown;1;yes
30;self-employed;543;yes;married;tertiary;no;yes;unknown;6;yes
36;blue-collar;403;no;married;primary;no;yes;unknown;1;yes
35;admin.;437;no;divorced;secondary;no;yes;unknown;1;yes
36;blue-collar;1772;no;married;secondary;no;no;unknown;1;yes
59;retired;-88;no;divorced;primary;no;yes;unknown;2;yes
47;entrepreneur;0;no;married;secondary;no;no;unknown;1;yes
NA;entrepreneur;853;no;married;tertiary;no;no;unknown;2;yes
37;management;240;no;single;tertiary;no;no;unknown;1;yes
46;admin.;849;no;single;secondary;no;yes;unknown;2;yes
43;blue-collar;318;no;single;secondary;no;yes;unknown;2;yes
27;management;703;no;single;tertiary;no;yes;unknown;3;yes
38;services;61;no;divorced;secondary;no;no;unknown;1;yes
53;housemaid;104;yes;married;primary;no;no;unknown;1;yes
NA;blue-collar;1996;no;married;secondary;no;no;unknown;2;yes
56;housemaid;1238;no;divorced;primary;yes;no;unknown;1;yes
41;housemaid;879;no;married;secondary;no;no;unknown;2;yes
29;self-employed;425;no;married;secondary;no;yes;unknown;15;yes
50;technician;416;no;married;secondary;no;yes;unknown;5;yes
45;blue-collar;844;no;divorced;primary;no;no;unknown;3;yes
35;blue-collar;860;no;married;secondary;no;yes;unknown;4;yes
26;technician;639;no;single;secondary;no;yes;unknown;5;yes
26;admin.;710;yes;married;secondary;no;yes;unknown;2;yes
37;blue-collar;1508;yes;married;unknown;no;no;unknown;2;yes
30;admin.;223;no;single;secondary;no;yes;unknown;11;yes
38;management;619;no;single;tertiary;no;yes;unknown;4;yes
37;services;319;no;divorced;secondary;no;yes;unknown;3;yes
53;technician;480;no;married;secondary;no;no;unknown;2;yes
29;blue-collar;213;no;single;primary;no;yes;unknown;3;yes
35;management;68;no;single;tertiary;no;no;unknown;1;yes
28;NA;2788;NA;married;secondary;no;yes;unknown;2;yes
55;blue-collar;7561;no;married;unknown;no;no;unknown;3;yes
49;management;-46;no;divorced;secondary;no;yes;unknown;10;yes
50;NA;1595;NA;married;secondary;no;no;unknown;1;yes
43;management;1046;no;single;tertiary;no;no;unknown;1;yes
58;self-employed;1382;no;divorced;tertiary;no;no;unknown;1;yes
38;technician;217;no;married;primary;no;yes;unknown;6;yes
48;blue-collar;183;no;divorced;primary;no;no;unknown;1;yes
59;management;1321;no;married;secondary;no;no;unknown;3;yes
58;blue-collar;25;no;married;secondary;no;no;unknown;3;yes
36;self-employed;4844;no;single;tertiary;no;no;unknown;3;yes
42;entrepreneur;5345;no;married;tertiary;no;no;unknown;3;yes
41;admin.;812;yes;single;secondary;no;no;unknown;4;yes
42;admin.;105;no;married;secondary;no;no;unknown;4;yes
39;management;-190;yes;married;tertiary;no;no;unknown;8;yes
57;housemaid;625;yes;married;primary;no;no;unknown;1;yes
52;retired;293;no;married;unknown;no;no;unknown;1;yes
59;retired;1033;no;married;unknown;no;no;unknown;1;yes
56;blue-collar;1210;no;married;secondary;no;no;unknown;1;yes
49;management;64;no;married;tertiary;no;no;unknown;1;yes
NA;blue-collar;164;no;divorced;unknown;no;no;unknown;2;yes
36;unemployed;1766;no;married;secondary;no;no;unknown;2;yes
40;admin.;1248;no;single;tertiary;no;no;unknown;2;yes
55;blue-collar;0;no;married;secondary;no;no;unknown;2;yes
58;admin.;826;no;married;secondary;no;no;unknown;1;yes
39;self-employed;2630;no;married;tertiary;no;no;unknown;5;yes
47;housemaid;3727;no;single;tertiary;no;no;unknown;6;yes
40;management;406;no;married;secondary;no;yes;unknown;2;yes
35;blue-collar;2999;NA;married;tertiary;no;no;unknown;6;yes
48;NA;1000;no;married;secondary;no;yes;unknown;2;yes
48;management;503;yes;divorced;tertiary;no;no;unknown;7;yes
24;blue-collar;-203;no;single;secondary;yes;yes;unknown;3;yes
49;blue-collar;361;no;married;primary;no;yes;unknown;2;yes
36;blue-collar;274;no;married;secondary;no;yes;unknown;11;yes
52;retired;3687;yes;divorced;tertiary;no;yes;unknown;4;yes
42;entrepreneur;323;no;single;unknown;no;no;unknown;1;yes
36;services;981;no;married;secondary;no;no;unknown;1;yes
36;blue-collar;638;no;divorced;secondary;no;yes;unknown;2;yes
48;unemployed;3229;no;single;tertiary;no;no;unknown;1;yes
51;management;NA;no;single;secondary;no;yes;unknown;3;yes
51;blue-collar;33;yes;married;secondary;no;no;unknown;3;yes
46;technician;536;no;married;secondary;no;yes;unknown;2;yes
37;management;0;no;married;tertiary;no;no;unknown;6;yes
36;entrepreneur;3057;no;married;tertiary;no;no;unknown;4;yes
47;management;2892;no;married;secondary;no;no;unknown;1;yes
40;technician;0;no;divorced;tertiary;no;no;unknown;1;yes
38;student;3316;no;single;tertiary;no;no;unknown;3;yes
40;management;106;no;married;secondary;no;no;unknown;2;yes
39;blue-collar;2303;no;married;primary;no;yes;unknown;3;yes
60;management;3301;no;married;tertiary;no;no;unknown;3;yes
39;self-employed;426;no;single;tertiary;no;no;unknown;1;yes
51;services;9;no;divorced;secondary;no;no;unknown;2;yes
27;admin.;-97;no;married;secondary;no;yes;unknown;2;yes
41;management;11008;no;single;tertiary;no;no;unknown;1;yes
42;blue-collar;4930;no;single;primary;no;no;unknown;1;yes
41;entrepreneur;707;no;married;secondary;no;no;unknown;1;yes
33;NA;4;yes;married;secondary;no;yes;unknown;2;yes
46;admin.;126;no;married;secondary;no;no;unknown;1;yes
31;blue-collar;671;no;married;secondary;no;yes;unknown;4;yes
41;blue-collar;219;yes;married;primary;no;no;unknown;3;yes
41;blue-collar;3622;no;divorced;secondary;no;no;unknown;4;yes
55;retired;1580;yes;divorced;secondary;no;no;unknown;1;yes
53;technician;1319;no;married;secondary;no;no;unknown;3;yes
55;housemaid;2152;no;married;primary;no;no;unknown;2;yes
39;services;2843;no;married;secondary;no;yes;unknown;1;yes
40;entrepreneur;0;no;married;tertiary;yes;no;unknown;4;yes
59;retired;1115;no;married;primary;no;no;unknown;1;yes
42;blue-collar;625;NA;single;secondary;no;no;unknown;3;yes
41;NA;246;no;married;primary;no;no;unknown;3;yes
NA;blue-collar;61;no;married;secondary;no;yes;unknown;1;yes
25;blue-collar;-191;no;single;secondary;no;yes;unknown;7;yes
43;unemployed;519;NA;married;primary;no;no;unknown;2;yes
44;services;522;yes;married;secondary;no;no;unknown;1;yes
26;blue-collar;-46;NA;single;secondary;no;yes;unknown;7;yes
52;NA;2269;no;married;tertiary;no;no;unknown;1;yes
54;services;386;yes;married;unknown;no;no;unknown;1;yes
56;management;0;yes;married;tertiary;no;no;unknown;1;yes
57;management;9103;yes;married;tertiary;no;no;unknown;2;yes
29;blue-collar;908;no;single;secondary;no;yes;unknown;1;yes
47;technician;1694;yes;married;tertiary;no;no;unknown;3;yes
57;management;-92;yes;married;tertiary;no;yes;unknown;1;yes
40;blue-collar;188;yes;married;secondary;no;yes;unknown;2;yes
46;services;0;no;divorced;secondary;no;no;unknown;3;yes
43;NA;740;no;single;secondary;no;yes;unknown;2;yes
45;management;655;no;married;tertiary;no;no;unknown;3;yes
24;management;867;NA;married;secondary;no;yes;unknown;10;yes
40;blue-collar;1009;yes;married;secondary;no;yes;unknown;5;yes
NA;services;6360;no;divorced;unknown;no;no;unknown;2;yes
NA;unemployed;4145;no;married;tertiary;no;no;unknown;4;yes
27;blue-collar;-27;no;single;secondary;yes;no;unknown;2;yes
26;admin.;NA;no;single;primary;no;yes;unknown;3;yes
43;management;149;no;married;tertiary;no;yes;unknown;2;yes
25;blue-collar;52;no;single;primary;no;yes;unknown;2;yes
27;blue-collar;335;no;married;tertiary;no;yes;unknown;3;yes
30;technician;NA;yes;married;tertiary;no;yes;unknown;3;yes
28;admin.;-7;yes;single;secondary;no;no;unknown;2;yes
27;blue-collar;-413;yes;married;primary;no;no;unknown;6;yes
32;admin.;-241;yes;divorced;secondary;no;no;unknown;2;yes
41;blue-collar;75;NA;single;secondary;no;yes;unknown;9;yes
37;technician;0;no;single;tertiary;no;no;unknown;2;yes
27;technician;NA;NA;single;secondary;no;no;unknown;2;yes
29;services;84;yes;single;secondary;no;no;unknown;3;yes
33;services;114;NA;married;secondary;no;no;unknown;1;yes
36;technician;0;no;married;primary;no;no;unknown;1;yes
28;blue-collar;-127;no;single;secondary;no;yes;cellular;3;yes
55;NA;49;no;married;secondary;no;yes;cellular;4;yes
51;technician;216;no;married;secondary;no;no;cellular;2;yes
39;technician;506;no;single;secondary;no;yes;cellular;2;yes
NA;blue-collar;213;no;divorced;primary;no;yes;cellular;3;yes
33;services;170;no;single;secondary;no;no;cellular;1;yes
36;entrepreneur;776;yes;divorced;tertiary;no;no;cellular;3;yes
NA;technician;879;no;married;secondary;no;no;cellular;2;yes
NA;NA;1633;no;married;secondary;no;no;cellular;2;yes
46;unemployed;926;no;married;secondary;no;no;cellular;5;yes
32;self-employed;2559;no;single;tertiary;no;no;cellular;1;yes
28;technician;909;yes;single;secondary;no;no;cellular;1;yes
45;admin.;NA;yes;divorced;secondary;no;no;cellular;1;yes
41;blue-collar;1085;yes;single;secondary;yes;yes;cellular;1;yes
59;blue-collar;1265;yes;divorced;primary;no;no;cellular;1;yes
47;NA;-239;yes;single;secondary;no;yes;cellular;3;yes
31;blue-collar;726;no;single;secondary;no;no;cellular;2;yes
31;management;296;yes;single;tertiary;no;no;cellular;4;yes
33;entrepreneur;-627;yes;married;secondary;no;yes;cellular;1;yes
52;entrepreneur;-468;no;married;tertiary;yes;no;cellular;1;yes
26;self-employed;551;no;single;secondary;no;no;cellular;1;yes
25;technician;0;yes;single;secondary;no;no;cellular;1;yes
25;blue-collar;101;yes;married;secondary;no;no;cellular;3;yes
28;blue-collar;517;yes;single;secondary;no;no;cellular;1;yes
33;entrepreneur;37;yes;divorced;tertiary;no;no;cellular;1;yes
45;management;854;NA;divorced;tertiary;no;no;cellular;1;yes
36;services;30;yes;married;secondary;no;no;cellular;5;yes
26;blue-collar;81;yes;single;secondary;yes;no;cellular;2;yes
38;technician;0;no;married;secondary;no;no;cellular;1;yes
56;blue-collar;663;yes;single;secondary;no;no;cellular;3;yes
26;admin.;102;yes;single;secondary;no;no;cellular;2;yes
26;technician;370;yes;married;secondary;no;no;cellular;4;yes
25;blue-collar;189;yes;single;secondary;no;no;cellular;2;yes
26;unemployed;111;no;single;secondary;no;no;cellular;1;yes
40;blue-collar;665;no;married;primary;no;yes;cellular;1;yes
37;admin.;214;no;married;primary;no;yes;cellular;1;yes
43;blue-collar;0;no;single;primary;no;no;cellular;1;yes
41;services;1583;no;divorced;tertiary;no;yes;cellular;1;yes
49;blue-collar;0;yes;married;secondary;no;no;cellular;1;yes
29;admin.;0;yes;divorced;tertiary;yes;no;cellular;3;yes
NA;services;687;no;divorced;secondary;no;yes;cellular;1;yes
38;management;327;yes;married;tertiary;yes;yes;cellular;5;yes
26;technician;-119;yes;married;secondary;no;no;cellular;5;yes
NA;management;794;yes;married;tertiary;no;yes;cellular;1;yes
33;blue-collar;-191;yes;married;primary;no;yes;cellular;4;yes
31;management;409;yes;single;tertiary;no;no;cellular;5;yes
49;blue-collar;3;yes;married;primary;no;no;cellular;6;yes
27;unemployed;9;yes;single;primary;no;no;cellular;2;yes
30;blue-collar;155;yes;single;secondary;no;yes;cellular;3;yes
35;blue-collar;1330;NA;married;secondary;no;no;cellular;1;yes
26;blue-collar;-29;no;single;secondary;no;yes;cellular;4;yes
45;entrepreneur;NA;yes;married;unknown;no;yes;cellular;1;yes
34;NA;-33;yes;married;secondary;no;yes;cellular;1;yes
28;admin.;-170;yes;single;secondary;no;no;cellular;2;yes
25;blue-collar;1243;yes;single;secondary;no;no;cellular;7;yes
30;blue-collar;1598;no;single;secondary;no;yes;cellular;1;yes
30;services;5;yes;married;secondary;no;no;cellular;5;yes
47;services;NA;no;married;secondary;no;yes;cellular;4;yes
57;admin.;658;no;divorced;secondary;no;no;cellular;1;yes
38;management;1722;no;married;tertiary;no;yes;cellular;1;yes
54;technician;-315;yes;married;secondary;no;no;cellular;1;yes
25;blue-collar;2483;no;single;primary;no;no;cellular;3;yes
30;blue-collar;0;yes;married;secondary;no;yes;cellular;1;yes
26;management;45;no;single;tertiary;no;no;cellular;3;yes
31;student;46;no;married;primary;no;yes;cellular;1;yes
29;blue-collar;482;yes;single;secondary;no;no;cellular;3;yes
49;blue-collar;3728;no;married;secondary;no;yes;cellular;2;yes
60;retired;1099;no;divorced;secondary;no;no;cellular;2;yes
NA;management;2222;no;married;tertiary;no;yes;cellular;2;yes
29;management;983;no;single;tertiary;no;yes;cellular;2;yes
55;management;204;no;divorced;secondary;no;yes;cellular;2;yes
44;admin.;1074;NA;married;secondary;no;yes;cellular;2;yes
47;NA;3466;no;married;secondary;no;yes;cellular;2;yes
35;admin.;-203;no;married;secondary;no;yes;cellular;2;yes
35;entrepreneur;2436;yes;married;secondary;no;no;cellular;3;yes
38;technician;976;no;married;secondary;no;yes;cellular;3;yes
34;NA;146;no;married;tertiary;no;yes;cellular;2;yes
50;technician;156;yes;married;secondary;no;no;cellular;3;yes
43;admin.;189;no;married;tertiary;no;yes;cellular;4;yes
NA;admin.;163;no;divorced;secondary;no;yes;cellular;2;yes
51;services;242;yes;divorced;secondary;no;no;cellular;4;yes
31;technician;NA;no;married;secondary;no;yes;cellular;3;yes
39;technician;0;no;married;tertiary;no;yes;cellular;7;yes
