DEFAULT;GENDER;AGE;CITIZEN;PART;INCOME;BALANCE
No;Female;37;DE;No;37,186.7;201.7
No;Male;39;UK;No;49,990.2;641.1
No;Male;43;IT;No;38,523.9;1,468.4
No;Male;41;UK;Yes;21,714.8;6.4
No;Male;33;SP;No;35,645.9;549.0
No;Female;41;IT;No;39,660.9;1,402.0
No;Female;48;UK;No;50,370.1;1,185.0
Yes;Male;30;GE;Yes;11,505.7;1,806.2
No;Male;44;UK;No;31,735.2;657.3
No;Male;32;SP;No;51,876.8;685.3
No;Male;35;HO;No;36,690.2;824.6
No;Male;37;GE;No;37,895.2;1,250.0
No;Male;41;SP;Yes;18,289.4;447.0
No;Male;52;SP;Yes;12,122.8;653.2
No;Male;37;UK;Yes;19,220.8;321.3
No;Male;37;FR;No;37,763.2;204.7
No;Male;35;GE;No;43,089.5;380.3
No;Male;35;SP;Yes;13,460.8;275.0
No;Male;42;UK;No;50,735.7;1,234.7
No;Male;37;SP;No;34,918.8;1,665.8
No;Female;38;FR;No;49,320.8;583.0
No;Male;45;UK;Yes;24,559.4;984.6
No;Male;41;FR;Yes;16,152.4;79.8
No;Female;38;GE;Yes;14,809.5;700.8
No;Male;38;UK;Yes;12,855.5;811.8
No;Male;36;SP;No;39,600.4;766.8
No;Male;39;GE;No;47,193.7;244.7
No;Male;39;IT;No;32,842.4;272.0
No;Male;48;UK;No;46,643.5;1,092.3
No;Female;47;DE;No;31,083.3;741.3
No;Female;36;GE;No;50,107.5;880.1
No;Female;35;UK;Yes;16,667.1;1,446.6
No;Male;37;DE;No;25,711.6;1,074.1
No;Male;47;FR;No;60,132.9;1,608.8
Yes;Male;34;GE;Yes;18,321.0;1,542.5
No;Male;45;UK;No;32,426.0;652.9
Yes;Male;33;SP;Yes;9,677.1;2,025.1
No;Male;36;UK;No;45,883.1;618.6
No;Female;33;IT;Yes;16,445.4;1,012.2
No;Male;34;IT;No;35,058.9;185.2
No;Male;36;UK;No;40,855.1;1,256.4
No;Male;41;GE;No;38,870.7;907.6
No;Male;38;FR;No;45,033.4;1,039.1
No;Male;37;DE;Yes;18,829.6;1,771.1
No;Male;42;IT;No;24,106.9;1,137.9
No;Male;41;GE;Yes;22,786.4;150.4
No;Female;34;FR;No;32,774.0;439.7
No;Female;41;HO;No;17,052.8;5.0
No;Male;44;GR;No;33,425.5;829.4
No;Male;42;FR;No;40,503.8;636.5
No;Male;40;IT;No;36,838.1;52.5
Yes;Male;33;GE;Yes;32,775.4;1,338.2
No;Male;43;GE;Yes;16,503.5;978.5
No;Female;33;DE;No;46,231.7;1,358.7
No;Male;40;GE;Yes;19,169.1;1,442.7
No;Male;36;UK;Yes;17,192.6;5.0
No;Male;40;FR;No;51,344.7;399.3
No;Male;38;SP;Yes;20,430.9;241.7
No;Male;39;GE;No;47,058.7;5.1
Yes;Male;37;FR;No;29,991.1;1,530.7
No;Female;47;GE;No;42,219.8;932.8
No;Male;39;SP;No;36,738.8;1,623.8
No;Female;36;DE;Yes;26,339.1;670.9
No;Male;41;GE;No;36,688.2;1,353.1
No;Male;39;UK;Yes;29,043.5;1,120.0
Yes;Male;34;FR;No;49,305.0;1,672.3
No;Male;42;IT;No;42,435.6;615.0
No;Male;39;GE;Yes;20,054.0;1,136.0
Yes;Female;29;UK;No;38,205.7;1,707.4
No;Male;43;SP;No;26,606.2;498.3
No;Male;43;GE;Yes;15,573.6;1,038.9
No;Female;38;GE;No;28,093.9;1,043.6
No;Female;37;SP;No;54,524.6;1,073.9
No;Male;38;GE;No;28,819.6;200.2
No;Male;42;FR;Yes;21,599.0;972.9
No;Male;38;FR;Yes;12,114.3;815.2
No;Female;39;UK;No;54,967.6;310.4
Yes;Male;42;GE;No;35,455.1;1,315.8
No;Male;42;GR;No;39,818.2;1,296.5
No;Male;38;GE;Yes;21,768.9;1,348.6
No;Male;45;FR;No;28,205.8;1,063.5
No;Male;38;SP;No;26,827.6;916.7
No;Male;40;UK;No;41,572.9;851.9
No;Male;45;FR;No;39,570.8;5.0
No;Female;41;GE;No;34,479.8;1,310.0
No;Male;41;SP;No;62,391.4;1,408.9
No;Male;38;UK;No;30,226.5;1,017.6
No;Male;37;IT;Yes;1,500.0;770.0
No;Male;37;GE;No;51,852.3;1,321.7
No;Male;36;SP;No;36,305.4;962.9
No;Female;38;DE;No;38,527.6;1,258.1
No;Female;39;UK;No;56,334.1;420.8
No;Male;46;GE;No;36,554.5;204.8
No;Male;42;GR;Yes;15,837.3;1,397.3
Yes;Male;37;GR;Yes;18,803.6;1,958.0
No;Female;45;UK;Yes;18,947.4;1,032.2
No;Male;43;PO;Yes;23,341.2;712.0
No;Male;43;SP;No;23,256.9;1,333.0
No;Male;44;GE;No;46,167.5;1,164.3
No;Male;33;UK;No;41,008.2;771.1
No;Male;42;GE;No;49,129.3;270.7
Yes;Male;39;FR;No;50,330.3;1,362.6
No;Male;37;UK;No;25,490.5;238.1
No;Male;45;IT;Yes;15,836.0;1,047.6
No;Female;39;GE;No;39,301.4;1,111.0
No;Male;39;FR;No;39,666.7;1,109.4
No;Male;35;FR;Yes;22,015.3;709.8
No;Male;41;FR;Yes;15,441.6;1,175.2
Yes;Male;41;GE;No;53,519.3;1,334.4
No;Female;46;FR;No;37,718.2;180.5
No;Female;35;GE;No;13,399.5;936.4
No;Male;39;SP;No;30,290.0;316.0
No;Male;33;GE;No;28,089.6;5.0
No;Male;36;UK;No;47,614.0;794.9
No;Male;34;UK;No;45,238.2;896.2
No;Female;37;UK;No;40,210.5;1,455.3
No;Male;48;FR;No;25,231.6;12.4
No;Female;44;DE;No;45,095.8;216.0
No;Male;40;GE;No;29,493.9;6.7
No;Female;37;PO;No;33,886.1;1,244.4
No;Male;37;SP;No;40,979.2;846.3
No;Male;50;FR;Yes;20,442.5;1,215.7
No;Female;38;FR;No;46,453.9;5.1
No;Male;41;IT;Yes;23,405.7;780.3
No;Female;36;PO;Yes;21,724.3;1,389.6
No;Female;43;FR;No;35,002.8;813.6
No;Female;42;UK;No;53,901.8;1,184.2
No;Male;35;FR;Yes;4,363.4;97.3
No;Male;38;IT;Yes;18,196.2;1,301.9
No;Male;45;UK;No;37,054.2;1,116.4
No;Male;49;UK;No;52,060.6;40.6
No;Male;45;FR;No;26,672.1;855.3
No;Male;45;FR;Yes;19,108.3;550.7
Yes;Male;35;FR;Yes;21,862.3;1,807.5
No;Male;36;FR;No;30,239.2;563.4
No;Male;37;HO;No;43,189.7;65.9
No;Male;40;FR;No;34,258.0;1,352.8
No;Male;47;IT;No;40,908.9;839.1
No;Male;32;FR;Yes;16,911.8;808.7
No;Male;40;UK;Yes;24,944.7;512.8
No;Male;36;SP;No;58,480.9;916.5
No;Male;36;FR;No;35,041.3;1,357.3
Yes;Female;40;UK;Yes;25,738.9;2,579.6
No;Male;44;UK;No;23,240.9;1,098.1
No;Male;36;PO;No;30,906.4;936.2
No;Male;37;GE;Yes;21,988.8;712.3
Yes;Male;32;GR;No;41,641.2;1,558.1
No;Male;41;UK;No;24,057.1;1,830.2
No;Male;37;FR;Yes;14,241.7;343.4
No;Female;45;DE;No;31,685.8;936.2
No;Male;55;GR;Yes;14,156.4;1,300.2
No;Female;36;SP;No;34,584.2;324.1
No;Male;35;IT;Yes;25,829.3;1,587.7
No;Male;41;GE;No;59,409.3;1,050.5
No;Male;44;UK;No;37,192.8;200.5
No;Male;33;IT;Yes;14,420.8;674.2
No;Male;39;UK;Yes;15,467.6;602.7
No;Female;40;GE;No;58,755.8;852.8
No;Male;37;GE;No;38,235.4;464.0
No;Male;39;GE;Yes;12,655.8;1,049.9
No;Male;36;PO;No;29,699.0;1,266.0
No;Male;38;GE;No;45,747.3;507.7
No;Male;39;GE;Yes;8,822.0;882.7
Yes;Male;41;PO;No;37,123.9;2,236.2
No;Male;37;GE;Yes;15,246.7;1,539.9
No;Male;38;FR;No;46,909.5;351.8
No;Female;42;UK;No;38,608.8;733.2
No;Male;35;FR;No;36,762.1;780.8
No;Male;41;UK;No;40,237.9;692.2
No;Male;37;GE;No;38,318.1;6.1
No;Female;41;FR;No;38,447.4;1,639.3
No;Male;42;GR;Yes;12,714.1;147.5
No;Female;36;FR;No;27,867.6;738.1
No;Male;36;FR;No;20,368.3;1,317.7
No;Male;35;SP;No;28,848.6;1,074.1
No;Male;40;SP;No;32,803.8;231.8
No;Male;46;UK;No;35,033.9;799.3
No;Male;37;GE;Yes;18,557.4;599.8
No;Female;40;PO;No;48,097.4;872.3
No;Male;38;FR;No;32,763.8;1,222.6
No;Male;42;UK;No;37,725.2;180.9
No;Male;33;GR;No;35,282.8;1,535.3
No;Female;34;FR;No;50,529.5;1,246.4
No;Male;34;HO;No;39,927.5;429.4
No;Male;34;UK;No;28,486.5;5.0
Yes;Female;36;UK;Yes;12,179.2;2,037.6
No;Female;38;FR;No;41,469.7;641.3
No;Female;36;SP;No;30,962.6;1,256.1
No;Female;44;GE;No;35,772.5;1,143.2
No;Female;39;SP;No;41,960.9;346.3
Yes;Male;35;GE;Yes;19,331.9;2,334.4
No;Male;36;GE;No;36,816.7;153.0
No;Male;35;UK;Yes;20,020.9;813.0
No;Male;36;GE;No;46,683.3;573.8
Yes;Male;31;UK;Yes;13,965.0;1,504.4
No;Female;36;UK;Yes;18,906.3;1,143.8
No;Male;41;SP;No;12,733.3;558.1
No;Male;35;GE;No;39,270.9;1,086.6
No;Male;39;IT;Yes;16,092.8;1,123.9
No;Male;37;UK;No;40,473.8;629.8
No;Female;42;SP;Yes;19,913.8;654.9
No;Male;39;UK;No;42,279.9;5.0
No;Female;38;GE;No;52,523.0;620.9
No;Male;51;IT;No;24,994.9;1,004.5
No;Female;35;PO;No;41,453.3;438.6
No;Male;42;GE;Yes;16,247.2;51.9
No;Male;37;IT;Yes;15,396.1;1,246.5
No;Female;38;SP;Yes;19,664.6;1,196.1
No;Male;40;DE;Yes;22,574.6;1,479.8
No;Male;42;GE;No;49,884.3;662.2
No;Male;41;UK;No;40,374.3;234.3
No;Female;39;GE;Yes;12,071.1;1,242.7
No;Male;43;GE;No;37,309.0;317.6
No;Female;42;SP;No;33,435.6;1,168.5
No;Male;45;GE;No;42,500.0;763.6
No;Female;37;UK;No;62,344.5;96.1
No;Male;38;IT;No;42,214.9;317.8
No;Female;35;DE;No;37,845.2;419.9
No;Male;31;SP;No;32,321.2;884.5
No;Male;43;GE;No;43,344.2;1,166.3
No;Female;43;UK;No;27,880.8;737.0
No;Female;38;FR;Yes;19,094.3;455.8
No;Male;49;DE;No;23,512.1;808.7
No;Male;36;GE;No;31,257.3;856.0
Yes;Male;34;GE;Yes;21,931.3;2,653.5
No;Male;41;GE;No;36,814.9;1,103.8
No;Male;39;SP;No;35,332.9;885.9
No;Female;36;UK;Yes;19,966.8;510.6
No;Female;37;DE;No;32,727.3;5.0
No;Male;39;IT;No;43,308.4;234.3
No;Male;43;GE;No;42,039.3;1,025.9
No;Male;43;GE;No;36,347.1;654.0
No;Male;40;FR;No;30,146.4;1,391.3
No;Male;43;SP;Yes;16,952.1;1,109.3
No;Male;39;DE;No;42,481.8;917.0
No;Male;35;GE;Yes;27,128.1;1,093.0
No;Female;39;FR;No;35,131.1;1,234.5
No;Male;34;SP;No;31,968.4;509.0
No;Male;44;UK;No;62,154.6;912.3
No;Male;38;IT;Yes;16,253.4;30.9
No;Female;51;GR;Yes;9,145.4;542.7
No;Male;37;SP;No;37,599.0;1,183.2
No;Male;37;GE;No;53,353.8;1,333.4
No;Male;35;IT;No;41,881.0;773.9
No;Male;40;PO;No;39,986.7;319.2
No;Female;42;GE;Yes;21,212.7;1,288.1
No;Female;39;SP;Yes;13,704.1;1,570.1
No;Female;36;FR;No;48,467.8;636.6
Yes;Male;30;UK;Yes;19,641.6;1,012.6
No;Female;38;SP;No;46,568.2;572.6
No;Female;37;FR;Yes;15,813.4;1,821.6
No;Male;34;FR;No;45,950.7;1,576.1
Yes;Male;29;IT;Yes;17,829.8;1,875.8
No;Female;38;UK;No;21,792.9;5.0
No;Female;43;GE;No;29,646.6;775.4
No;Female;38;UK;No;49,462.8;573.7
No;Male;40;SP;Yes;19,934.0;1,275.4
No;Female;39;GE;No;38,891.1;1,558.7
No;Male;45;GE;No;28,079.1;1,042.1
No;Male;45;UK;Yes;22,536.7;387.6
No;Male;34;UK;Yes;15,583.5;770.2
No;Female;50;GE;No;28,066.0;809.4
No;Male;38;FR;Yes;21,107.7;1,033.0
No;Male;40;FR;No;53,561.1;177.8
Yes;Female;36;FR;No;35,057.6;1,741.8
Yes;Male;34;FR;No;49,634.3;1,819.7
No;Male;47;DE;No;40,386.0;280.8
No;Male;43;FR;No;53,348.5;1,334.6
No;Male;39;GE;No;32,717.7;5.4
No;Male;47;DE;No;45,771.2;758.2
Yes;Male;34;GE;No;61,223.2;1,577.4
No;Male;40;GE;Yes;17,376.1;1,458.2
No;Male;38;DE;No;58,702.0;1,868.4
No;Male;38;GE;No;29,502.3;6.4
No;Male;36;GR;No;51,312.2;430.5
Yes;Male;50;GE;No;46,088.0;1,898.8
No;Female;41;FR;Yes;6,739.2;1,221.3
